Serial No.,College Name,Scholarship Info
12,P.S.G College of Technology - [PSGCT],"The yearly fee structure for my course is 88000 for councelling and 148000 for management courses. The tution fees includes placement fees, special fees, admission fees and it will change every year. The above mentioned fees is what i paid, i may vary yearly. In our college there are two kind of course self supported and government. If the course if offered by the government then the fees is around 20-25 k. There are various scholarships offered in our college every year. There will be a scolarship for all first gradutes around 27500."
12,P.S.G College of Technology - [PSGCT],"Fees structure for my course B.tech IT(Self Supported Course) is 85000/year. Fees structure for other courses which is not ans Self Supported will be below 25000/year since it is offered by our government. It includes caution fees, admission fees, semester fees, lab fees. This will vary according to the courses per year. It also includes placement fees. Our college provides many scholarships for students. They will offer different kind of scholarships each year for different students. Example, There is a TN govt scholarship, that consists an amout of 27,000 per year."
12,P.S.G College of Technology - [PSGCT],"There are not any special fee based on the categories like OBC,SC. There is one factor to consider like the type of courses like aided or Self finanace. If a specified course is aided then fee for that course is lesser than the self finanace courses. People who join via merit or the TNEA councelling will prefer aided course if available for a specified degree. Management quota have higher fee than the people who join via councelling."
12,P.S.G College of Technology - [PSGCT],Paid Total fees of 35 L for 3 years in here and final here in aboard. This course inlcude learning german language upto c1 level so that after reaching i could continue my studies with free education as per german norms
12,P.S.G College of Technology - [PSGCT],"The year wide fees I pay is 3,60,000 Registration fees is 5000 rupees Admission fees is 1 lakh There are no other fees except these rather than material expenses All of my batch mates pay the same amount of money We don't have scholarships"
13,Sathyabama Institute of Science and Technology,Sathyabama University Scholarship grants monetary support to scholars and freshers who have accomplished great excellence in academics. Sathyabama University is a private-deemed University established in the year 1987. The scholarships offered by Sathyabama University aim to encourage academic scholars to achieve higher career goals and aspirations and are presented to students who outshine their regular academics.
13,Sathyabama Institute of Science and Technology,Sathyabama University offers the following scholarships to its students:
13,Sathyabama Institute of Science and Technology,Chancellor’s Merit Scholarship is granted to those students who excel in their regular academics while Anbu Scholarship is offered to meritorious students who lack financial support to continue their education.
13,Sathyabama Institute of Science and Technology,Check More: Sathyabama University Admission 2023
13,Sathyabama Institute of Science and Technology,Table of Content
14,Kalinga Institute of Industrial Technology - [KIIT],"Kalinga Institute of Industrial Technology (KIIT) offers a wide range of scholarships to its students. KIIT University has instituted several scholarships and fellowships to encourage its meritorious and deserving students. Various stipends and fee relaxation schemes are also available at the institute. However, the amount and period of scholarship is subject to change from time to time. In this article, you will find all the details about the different KIIT Scholarships with 6 stipends and other financial aids available for the students."
14,Kalinga Institute of Industrial Technology - [KIIT],KIIT University Bhubaneshwar offers around 8 major scholarships to its students. Most of these are offered to poor and meritorious students. The image below represents the major KIIT Scholarships 2024 offered to its students:
14,Kalinga Institute of Industrial Technology - [KIIT],
14,Kalinga Institute of Industrial Technology - [KIIT],The table below highlights the major KIIT Scholarships 2024 along with their benefits and selection process:
14,Kalinga Institute of Industrial Technology - [KIIT],"KIIT provides several stipends to UG, PG, and Doctoral Medical students. Given below are the KIIT Stipends 2024 offered in different medical courses:"
15,Siksha 'O' Anusandhan University - [SOA],"SOA University Scholarships are offered only on the basis of Merit. SOA University believes in rewarding meritorious and deserving students by offering them financial assistance. Scholarships at SOA University are offered to students seeking admissions to B.Tech, BCA, MCA, BBA, MBA, BBA LLB (H) /BA LLB (H), B.Sc. (Nursing), B.Pharma and Doctoral Programs. Scholarships offered by SOA University range between INR 10,000 – INR 35,000 Per Annum depending on the course opted."
15,Siksha 'O' Anusandhan University - [SOA],Check More: SOA University Courses & Fees
15,Siksha 'O' Anusandhan University - [SOA],Table of Content
15,Siksha 'O' Anusandhan University - [SOA],Here are the details on SOA University Scholarships for B.Tech. The scholarships for B.Tech at SOA University are further divided into the following categories.
15,Siksha 'O' Anusandhan University - [SOA],Details on Eligibility Criteria and Scholarship Amount at SOA University for B.Tech. (CSE & CSIT) is as follows:
16,K L University - [KLU],Conditions:
16,K L University - [KLU],"I paid a total of 2.9 lacs per annum as fee for opting for this course in klh hyderabad.tution fee is 1.45 lacs per sem and I paid extra 30,000 as admission fee.s Students will get concession on tution fees if they have over 90 percentage of marks in intermediate board exams.concession may change according to marks. Concession will also be there for eamcet and mains results.i think it is 15 percentage. If we maintain a total cgpa 9 or above we will get concession on fees."
16,K L University - [KLU],"Schorlarship will be given if we get more than 9 cgpa in each year i got 15000 scholarship per year and its continued whn i get 9 cgpa . Other benchmates also got in different types and are studying with scholorships. Lower castes like sc,st also get if they apply for and give caste certificate as proof ."
16,K L University - [KLU],Fee structure is semister wise. I have paid 125000 every semester. And yearly fee is 250000 and i didn't get any scholarship but few of my friends got scholarship based on the percentage of 12th... And percentage of scholarship varies for every branch you choose. There's no increase in semister fee but there's a increase in bus fee. 15000 they charged for admission fee and 21000 for placement training and there are other charges like 2000 for sports course.
16,K L University - [KLU],"Coming to the fee structure for branch Electronics and communication engineering in Btech course. It is 2,15,000/- for year at my joining time. Now it may got changed. We have to pay the fee semister wise. Where for each semister it is 1,07,500/-."
17,Kalasalingam Academy of Research and Education,"Being one of the well-reputed universities of its kind, Kalasalingam University has a very incorporating and carefully structured scholarship program that has been put in place in order to aid meritorious and deserving candidates who find themselves in financial difficulty, leading them to be unable to pay the fees. The scholarship program helps those students who are deserving and meet the eligibility criteria for the scholarships. There are a total of 15 categories of scholarships that eligible candidates can avail of."
17,Kalasalingam Academy of Research and Education,Details for the aforementioned scholarships are as follows:
17,Kalasalingam Academy of Research and Education,JEE Mains Rank:
17,Kalasalingam Academy of Research and Education,
17,Kalasalingam Academy of Research and Education,TS/AP EAMCET Ranks:
18,R V College of Engineering - [RVCE],The yearly college fees is for first year is 121000 and they providing Skill labs and everything and also For scholarship is there for everyone and they can apply for the scholarship and for 2nd year college fees is decreasing like 119000 So the fact is yearly college fees is decreased not increase
18,R V College of Engineering - [RVCE],For ECE it is 2.8 LPA tuition fees per year and I think it goes down by a bit every year for ece mq it is 30-40 lakhs depends on various factors. Not aware of any scholarships since I am in first year.
18,R V College of Engineering - [RVCE],"We've paid around in and around 60k, per annum for my BBA course, which i feel is pretty good and affordable sum of amount when compared to other colleges, and when it comes to scholarships, the college supports and provide all sort of facilities if we want to apply for scholarships."
18,R V College of Engineering - [RVCE],"so i opted this college by Comedk Quota , where i have paid 281000 as tution fees for the first year and they asked for a DD of 32100 as skill lab fees and VTU (visvesvarya technological university ) fees . apart from this if you are staying in hostel then you have to pay 155000 per year . The 32100 DD is only one time payment."
18,R V College of Engineering - [RVCE],"My yearly fee as a non- Karnataka student is Rs. 242565 including everything. Not much details regarding the fee structure. The management quota fee is around Rs. 6200000 for the whole course. I personally find it quite affordable, especially with all the financial aids offered by the college."
19,Ramaiah Institute of Technology - [RIT],"Yearly wise fees = ?1,75,000 for 3 years and 4th year will be research project The above mentioned fees includes everything including labs, admission, maintanance, sports coaching, gym etc. Everyone pays the same fees There are more than 3 scholarships available for the students."
19,Ramaiah Institute of Technology - [RIT],"i paid yearly around ?85000 and if you score above 80% you get ?20000 discount. my coure was of 3 years so i paid 85k in the 1st year, 75k in 2nd year but again 85k in the 3rd year(20k for alumini charges)."
19,Ramaiah Institute of Technology - [RIT],"1st year -350000 2nd year-340000 3rd year-340000 4th year-330000 This is the tuition feee for the cs students registration,caution ,lab everything is included in the same fee but for admission fee we got to pay 1500 rs And for our friends in b.tech ECE fee structure is 1st year - 250000 2nd year - 240000 3rd year - 240000 4th year - 230000 I don't have a idea on scholarships because I don't have one"
19,Ramaiah Institute of Technology - [RIT],"I paid onw lakh twenty thousand rupees and came in through kcet quota, my batchmates are paying around 2,70,000 for the same Crouse who came in through comedk and people from management pay 1 lakh extra overall including all the fee , there is one scholarship for under privileged people called sna qouto under which you pay only 45,000 per year apart from these there are several other scholarships for girls but very few for general boys ."
19,Ramaiah Institute of Technology - [RIT],The year wise fee I pay is around 2lakh 61 thousand is the tution fee and the hostel fee is 1 lakh and 45 thousand and skill development and lab fee is around 20 thousand.the students from kcet get a low fee here it's around 150000
20,International Institute of Information Technology - [IIIT-B],"The fee varies year wise, first and second year - 1.6 lakhs per seamester third and fourth year - 1.92 lakhs per seamester fifth year - 2.3 lakhs per seamester Hostel Charge - 38k per seamester Mess charge - 28k per seamester There are various scholarships such as Utkarsha Scheme , which provides tution fee reimbursment for top jee rankrer Then there are cgpa based scholarships,those who score more than 9 cgpa ovrerall are awarded with 50k scholarship for that year."
20,International Institute of Information Technology - [IIIT-B],1. The total fees was paid is Rs 290000. 2. Tuition fees was the Rs 290000. 3. Same fees was the paid by the batchmates. 4.There were no scholarships or financial aid that are available for the students.
20,International Institute of Information Technology - [IIIT-B],"The year-wise fees I will be paying is 4 lakh rupees. As there is no reservation there are no separate fees for each category. The Tuition fee is around 1.75 lakhs per semester, so the total is around 3.45 lakhs. for a complete year. The caution fee is 5000 per year. There are no separate fees for registration, lab and development, all of those are included in the tuition fee."
20,International Institute of Information Technology - [IIIT-B],"It was on the expensive side for middle class people to afford than any other normal college would have had as it was 3,00,000 ( Three LAKH ) for just one year but the campus and curriculum makes up for it."
20,International Institute of Information Technology - [IIIT-B],"IITB's fee structure includes tuition and service fees, with periodic hikes of 5 to 10 %. Scholarship include merit based, need based and industry sponspored . campus jobs also offer stipends upto 15000/month"
21,BMS College of Engineering - [BMSCE],BMS College of Engineering offers two types of scholarships- Government scholarships and Private Scholarships. They fall under the following categories-
21,BMS College of Engineering - [BMSCE],Government Scholarships
21,BMS College of Engineering - [BMSCE],Private Scholarships
21,BMS College of Engineering - [BMSCE],
21,BMS College of Engineering - [BMSCE],"There are various ways one can get into BMSCE, through KCET, COMEDK or Management I got in through KCET which has a year fee of 40K under aided and 80K under non aided The management fee may vary according to the stream"
22,Karunya Institute of Technology and Sciences - [Karunya Deemed University],"Karunya University Scholarship focuses on offering monetary help to brilliant and deserving students. Karunya University provides scholarships on the basis of the course opted by the student. Scholarship amount varies as per the course chosen. The scholarship amount at Karunya University ranges between INR 10,000 to INR 1,20,000."
22,Karunya Institute of Technology and Sciences - [Karunya Deemed University],A list of courses in which the scholarship is offered at Karunya University is as follows:
22,Karunya Institute of Technology and Sciences - [Karunya Deemed University],Check More: Karunya University Admission 2023
22,Karunya Institute of Technology and Sciences - [Karunya Deemed University],Table of Content
22,Karunya Institute of Technology and Sciences - [Karunya Deemed University],Karunya University Scholarship for B.Tech (Merit Scholarship) is as follows:
23,Kumaraguru College of Technology - [KCT],"So our college yearly fee structure in ?1,90,000 which include Tution fee of 40000, book fee of 75000, hostel fee 85000, caution fee of 5000 and other additional fee of 15000 which is compulsoryly paid by all my batch mates. Management students may get a extra fee of 200000 other than the counselling students. Currently we dont get financially aided by our college but we get scholarship amount 5000 to 15000 based on the caste. But our college gives merit scholarship to top 10 OGPA holders as a reward for their hard work in academic. So Totally my colleges is worth it's fee structure hence it provide a good education atmosphere for students with well trained staffs and clean hostel and hygiene food so i will highly recommend it to get your degree in agriculture"
23,Kumaraguru College of Technology - [KCT],Totally for hostel and mess fess per year would be 88000. And for 4 years it would be around 352000. And clg fees is around 60k per year and it would be with in 4 lakh for 4 yrs. There is exemption of fees for persons based on categoery of caste and marks they obtained. There are also scholarships and award mahatma gandhi award for scholars. Scholarships will be amount of 25000 rs
23,Kumaraguru College of Technology - [KCT],"As of now I am studying 2nd year till now I have paid ? 89,000 per year or tutor fees and 88,000 for hostel fees. And I came this collage from a councelling and my friend came in management quota and he is paying ?1,35,000. And collage is giving Scholarship of ?3000 per year for the community MBC,BC."
23,Kumaraguru College of Technology - [KCT],"Year wise course fees including tution fees, development fees, laboratory fees is 96000. First graduate fee concessions also available. Arutchelvar scholarship which is given by the institution is also available."
23,Kumaraguru College of Technology - [KCT],If we are selected through councelling or tamilnadu scholarship the fees will around 90 thousand per year but if we opt management quota the fees will be around 2 lakhs and if we opt hostel then including the food the fees for 1 year is 1 lakh if we are selected through higher level sports quota the fees is zero And there are many other scholarship available in our college and providing many of them to students
24,Punjab Engineering College University of Technology - [PEC],Total fees of 1 sem is approx 1 lakh so yearly it would be approx 2 lakh. If you opt for hostel 83000 is hostel fees and you have to pay separate mess fee 3500 per month. I don't know about any scholarships or financial aid.
24,Punjab Engineering College University of Technology - [PEC],"The fee structure of Punjab Engineering College, Chandigarh can vary depending on the category you belong to and whether you have received any scholarships or financial aid. The recent Fee structure for the general category is tuition fee: 100000 development fees: 20000 Registration fees: 1500 Caution fees: 5000 Other charges: 10000 and this fees increases by 10% for every new batch but is same for a particular batch for all 8 semesters."
24,Punjab Engineering College University of Technology - [PEC],"Currently the fee structure has been incresed for 2022-2026 batch and further from 86000 per semester to 94000 per semester(188000 yearly). Admission fee along with registration and everything else (other than hostels) is of the amount 141000. For studdents from categorries other than general ones include a fee waiver of 50% from the total cost Merit based scholarships include scholarships for top 2 performers of the class along with other scholarships like those funded by the department, and provided by the college authorities."
24,Punjab Engineering College University of Technology - [PEC],Tuition Fee -> 176000 Hostel Fee -> 77500 (including mess) One Time Fee -> 19000 (includes caution fee and admission fee) There are financial concessions and waiver offs for EWS and SC/ST students .. additonally scholarships (merit cum need) are given to deserving students. There is arrangement for education loans as well
24,Punjab Engineering College University of Technology - [PEC],"The whole amount of Rs. 2 lac(yearly) contains the Rs. 1,86,000 of tution fees and the rest is covered by the other charges of about Rs. 6000 and it also has a one-time payment of Rs. 11,000 at the starting of the course. All in all, a four year program hai institute fee of Rs. 7.04 lacs and hostel fee of Rs. 3.01 lacs."
25,Jaypee Institute of Information Technology University - [JIIT],For the first sem it is 2.15 lakh including registration fees and the it starts from 1.3 lakh from 2nd semester. I would say it worth the money because of the academic of this collage as this has 3 exams for each sem .
25,Jaypee Institute of Information Technology University - [JIIT],The Yearly fees for college is around 400000 rupees with hostel .Hostel fees is 160000 per year .There are no such scholarship provided by the college but there are fees waviors for wards of army personals like 30% concession.
25,Jaypee Institute of Information Technology University - [JIIT],"Tution Fees for 1 year is 198000 and hostel fees for 1 year is 160000 , 10000 caution money is taken at the starting which is returned at last . 16000 development fees is taken and every year it increases by 2000, scholarship is available for Mp students"
25,Jaypee Institute of Information Technology University - [JIIT],1st year total 269500 Tution fee 203500 Development fee 66000 2nd year total 283000 Tution fee 213700 Development fee 69300 3rd year total 297200 Tution fees 224500 Development fee 72700 4th year total 312000 Tution fees 235700 Development fee 312000 One time caution fees (refundable) 10000 William Webster scholarship is given to students having parental income less than 1.5 lakhs per annum for them entire semester fees is waived. Continuation of scholarship is given to students having more than 7 gpa per semester.
25,Jaypee Institute of Information Technology University - [JIIT],"the course costs around 1587000 with around 8 lakhs as tuition fee , 20k caution money and around 6 lakhs 40k as hostel fees for 4 years. i've personally opted for hostel and because of that i have to pay this big sum of amount . there are scholarship programs also like cummins which is very popular in our college."
26,Indian Institute of Information Technology - [IIIT],"IIIT Allahabad, offers various scholarships to its students. Here are some of the scholarships available at IIIT Allahabad:"
26,Indian Institute of Information Technology - [IIIT],
26,Indian Institute of Information Technology - [IIIT],"Nearly upto 2 lakhs fees required per year, it is not fixed but goes on incresing year by year . Tution fees is arounf 120000 and rest fees includes mees fees,hostel fees and extra other fees(It is for general and OBC), No fees required for SC/ST category."
