Serial No.,College Name,Rating,Pros,Cons
11,Manipal Institute of Technology - [MIT],4.3,"The campus life at MIT Manipal is the best you'll ever get, you'll never want to go backto | Food, Accomodation all are some of the best you could find in a university | The campus life at MIT Manipal is the best you'll ever get, you'll never want to go backto","Hence it gets very annoying going to classes in the scorching heat and humidity | There are 3 languages i.e., Tulu, Konkani and Kannada which is very difficult to identify the native people speak"
12,P.S.G College of Technology - [PSGCT],4.4,"It has been the best learning platform where they help us discover our interests and excel in those fields. | The college has its very own industry situated inside the college itself. Yes, they provide internships to students within the college. The stipend varies based on the kind of internship and the company from which they are receiving it. | It has been the best learning platform where they help us discover our interests and excel in those fields.","Scholarship/loan offered by the college. If you take a loan outside, then you can get the required signatures from the college authority. | I still remember how girls were called to the wardens room to be warned if they were seen walking to the hostel and talking to a boy"
13,Sathyabama Institute of Science and Technology,3.9,The course CSE here is one of the excellent here in this university. | The fest they conduct once in a year and it will the best | The course CSE here is one of the excellent here in this university.,FOR NORTH INDIANS THE FOOD IS VERY BAD WE CAN'T EAT THERE | I didnot like the bus transport as it is dirty inside the bus
14,Kalinga Institute of Industrial Technology - [KIIT],4.2,"College have a aircraft for the students of aerospace, the best part was the lab has one MIG-27 engine | Class rooms , lab facilities, and sports facilities provided by the kiiy university is excellent | Campus life is good . Kiit has a very big and vibrant campus anyone would like , there are numerous clubs , societies , events allowing students to explore their interests",The food quality was really bad and no attention was pain to it | ROI is very less unaffordable college life course curriculum is worst
15,Siksha 'O' Anusandhan University - [SOA],4.3,"The placements from this college are the best part of this college. | Here campus facilities, library facilities, transport facilities, food facilities are very good. | The placements from this college are the best part of this college.","Placement is worst and they are taking addmission like a beach 5K students in cse itself | Drainage system are very bad, as compared to another college, that means water become overflow during rainy season"
16,K L University - [KLU],4.2,"The campus life in Kl university is best, the envirnoment around creates energy. | Environment where KL, Guntur located is very beautiful, its just iconic | The campus life in Kl university is best, the envirnoment around creates energy.",Rules in my collage I hate them I dont want all those rules | The registration process for this semester is very tough and uncomfortable.
17,Kalasalingam Academy of Research and Education,3.5,Education is very good like we will be given projects every sem | And one more the classes are very good and neat the campus. | Education is very good like we will be given projects every sem,Food that provided in hostels will be sometimes very bad rhat we cant eat. | I don't like the foods provided in college canteen the food are not good for the money
18,R V College of Engineering - [RVCE],4.0,The placements coordinators look after each student and see through that each student get placed with best package . | The college's commitment to providing excellent placement opportunities was another standout aspect. | The placements coordinators look after each student and see through that each student get placed with best package .,"The management here is really bad, they cant plan things accordingly | I fought false allegations of cheating and that went on for a while, because of a lab assistant."
19,Ramaiah Institute of Technology - [RIT],4.0,Wifi is provided which is very good and cleaners are appointed | I like the college because campus is beautiful and also teaching staff is good because they will teach brilliantly | Wifi is provided which is very good and cleaners are appointed,The hostel mess is really very bad and should be improved | Teachers and professors are not good in explaining concepts to students
20,International Institute of Information Technology - [IIIT-B],4.2,"Professors are really talented and knowledgeble. They are very cooperative and helpful as well. | Peer group is very awesome, since everyone holds similar range of ranks. | The faculty was good , well trained and good mentor .","I think the campus size is little small, although it is very optimised so this could be a little disadadvantageous sometimes. | In the first and second year worrkload is high, although those works are very rewarding eventually."
21,BMS College of Engineering - [BMSCE],4.1,Best infrastructure and excellent class room with air conditioner and BMS has the best facilities and BMS has the top placements and BMS cames under top 5 college in Karnataka. | Infrastructure is good and the instruments are great and in working condition. | Best infrastructure and excellent class room with air conditioner and BMS has the best facilities and BMS has the top placements and BMS cames under top 5 college in Karnataka.,"The hostel fees is very expensive although the tuition fee is way less compared | Management, it is not good at all, like they make their ways out leaving students to suffer."
22,Karunya Institute of Technology and Sciences - [Karunya Deemed University],4.1,Hostel food and play ground and climate are very liked by the students. | Playground its very nice place to pass times and good climate | Hostel food and play ground and climate are very liked by the students.,Placement given by the university is average and there is no outing for the students . | Travelling from college to city is very long atleast one hour.
23,Kumaraguru College of Technology - [KCT],4.2,The way of teaching is very good and also teachers shine our skills. | I liked infrastructure of college because it should be very comfortable zone for students | The way of teaching is very good and also teachers shine our skills.,Few Departments classes are quite ugly and can be maintained in future. | Management process will be quite complicated and it will take lots of effort to get the simple things done.
24,Punjab Engineering College University of Technology - [PEC],4.0,The number of clubs we get here is awesome and we can improve or develop ourselves in any field we want | The best thing is the city it is one of the best city and has everything that we need | The number of clubs we get here is awesome and we can improve or develop ourselves in any field we want,Faculty can be annoying to deal with given the government nature of the college. | Mess facility is very bad.. Food served here is very unhealthy.
25,Jaypee Institute of Information Technology University - [JIIT],4.0,The faculty is the best thing in Jaypee institute of Information Technology. | Societies of the college is the best thing according to me | The faculty is the best thing in Jaypee institute of Information Technology.,"There is uniform in college, which gets very boring to wear. | There are no stray dogs in the campus, which is really disappointing"
26,Indian Institute of Information Technology - [IIIT],4.3,Coding culture of this college is very good which help students to improve thier skills | Placements are very good so it is the best thing that i liked. | Coding culture of this college is very good which help students to improve thier skills,"The number of shops are very less in the college campus, which is very bad. | The formation of Ethics Committee which restricts the freedom of college students and make campus life suffocating."
27,Dayalbagh Educational Institute Faculty of Engineering,4.1,College has excellent faculty members all are phd and M.tech Qualified | The campus life in this college is very good all around there is greenery | College has excellent faculty members all are phd and M.tech Qualified,Poor infrastructure lack of classrooms students have to sit on ground to study. | College is very old as a real spent of the college also get fall down started
28,Mepco Schlenk Engineering College,4.1,"I really enjoy the way they are teaching, and I think the curriculum is truly amazing. The academic standards are also very high. | In our college, many staff members can work with us to help us secure internships for placement. | I really enjoy the way they are teaching, and I think the curriculum is truly amazing. The academic standards are also very high.","A lot of stupidity happening in the name of college reputation can be seen. | In 2014, we had only three companies offering internships, and the average stipend was $10K."
29,Sri Venkateswara University College of Engineering,3.9,Hostel provided by the university is very good and menu is excellent | FOOD ALSO VERY GOOD AND QUALITY AND QUANTITY ALSO VERY GOOD. | Hostel provided by the university is very good and menu is excellent,"The wifi facility is very poor in the hostel and it has to be improved | Teachers did not respond In labs ,lab equipment also not nice"
30,Dhirubhai Ambani Institute of Information and Communication Technology - [DA-IICT],4.3,I also like infrastructure of this college which is very good. | I like the campus facilities and hostel they are so good | I also like infrastructure of this college which is very good.,The teching policy is quite hard and exams are also hard | Holidays are given less and summer vacation and winter vacation also
31,Bharati Vidyapeeth Deemed University Pune,3.8,The canteen food is awesome i loved to eat momos from the canteen a lot. | Good environment like we all know pune have best weather anytime | The canteen food is awesome i loved to eat momos from the canteen a lot.,I dislike here canteen food they makes not good as we want | College timing is not good as students can not manage time for other activities and other courses
32,Hindustan Institute of Technology and Science - [HITS],3.3,"The htc people was great, you just can relay on them | Ambience and the staff who are very kind and knowlegdable . | The htc people was great, you just can relay on them",I heard college hostels have worst services u have very little freedom for yourself | Some faculty is very rude with students and i didnt like that
33,C. V. Raman Global University,3.8,The professor who taught in our class they are taught is best In teaching. | I like my teachers they are the best to guide us | The professor who taught in our class they are taught is best In teaching.,Odisha temperature is very bad i.e is very disappointed for me. | I don't like parking area of the college because that are is very dirty
34,Sri Krishna College of Engineering and Technology - [SKCET],4.1,"The syllabus is good, and the exposure to subjects is very good because of the faculty who provide information about them. | The internships they provide for students have been excellent. It is very useful as they provide stipends. | The syllabus is good, and the exposure to subjects is very good because of the faculty who provide information about them.","Most of the placements are from IT companies, which is detrimental for core students. | Sports are given importance here, and gender partiality is not an issue; they are treated equally"
35,Kongu Engineering College - [KEC],4.1,Kongu college is a very Beautiful campus The atmosphere was very good. | Our college is the safest and best place where we feel safe where. | Kongu college is a very Beautiful campus The atmosphere was very good.,"I disliked to Walk To Playing ground, the distance between Class to ground is 1km . | Food is only veg , but i want non veg so this the thing i disliked"
36,"Vignan's Foundation for Science, Technology, and Research",4.0,Awesome infrastructure of the college that is places in acres of land | It is very best about the Study and the campus life is very happy. | Awesome infrastructure of the college that is places in acres of land,I dislike the college timings in which all the students of the college feel bored and like a school. | They aren't providing basic package's which is worst part of this university
37,B.S. Abdur Rahman Crescent Institute of Science & Technology - [BSAU],4.2,"Our college is a very good place to build knowledge and skills. The exam structures include CAT and end-semester exams. | It is a trusted educational institution, Crescent Engineering College, located in Chennai. The college has the best infrastructure and offers stipends to students based on their marks. | Our college is a very good place to build knowledge and skills. The exam structures include CAT and end-semester exams.","About placements, this college doesnt support for placement as their reputation has decreased in recent times. Consequently, most companies do not come for campus interviews, and even if they do, they only recruit a few students. With a ratio of 1:9, it is disheartening that the placement prospects are not satisfactory. | Management provided a fee-free facility for poor students through the trust operated by the college administration."
38,Bannari Amman Institute of Technology - [BIT],4.2,The culture at the college is very good and the placements are very good | Like la 1st The infrastructure of this college is very good | The culture at the college is very good and the placements are very good,I am not comfortable with the hostel rooms that they provided.
39,Institute of Engineering and Management - [IEM],4.0,College Placement - The College Placement In IEM is The Best in Eastern india in BCA | Institute of engineering management one of the best college in Kolkata. | College Placement - The College Placement In IEM is The Best in Eastern india in BCA,"Location - The Location of The college is very Bad because i have to travel a lot to reach The College | Paying 85,000 per semester without having air-conditioned classrooms is quite disappointing."
40,Sona College of Technology,4.3,"I havent been to college. Ive attended a foundational course where the faculty were good. There were 20 girls and 40 boys. All the teachers are qualified with PHDs. | In a project team, tasks should be distributed across our software team in order to plan, track, and release high-quality output. | I havent been to college. Ive attended a foundational course where the faculty were good. There were 20 girls and 40 boys. All the teachers are qualified with PHDs.","They also offer scholarships to poor and middle-class individuals who are unable to pay the fee. | No, you have to apply at the office before you can get admission. Application forms will be given in the college offline. I received approximately 60 thousand reservation benefits."
41,Jain University - [JU],3.9,"Faculty are one of the best to say , they ll clarify your doubts at any time , there is no biased environment | Hostel life in jain University is preety awesome i would say because of the weather and environment | Faculty are one of the best to say , they ll clarify your doubts at any time , there is no biased environment","In college, sometimes wifi will not work so it will be very difficult to browse through internet because sometime network will not come in some areas. | The food of the canteen is not good very bad taste."
42,Chaitanya Bharathi Institute of Technology - [CBIT],4.1,Our college has the best placements percentage and all achieve it | In our college we have very good faculty to teach students | Our college has the best placements percentage and all achieve it,You will not have propr internet connection in campus that's the worst of all | Fee is very expensive and after that we don't get any placements
43,New Horizon College of Engineering - [NHCE],4.2,"I liked in this college is my friends they are very supportive | I liked the campus life because there is something always going on, i was part of the art club. | I liked in this college is my friends they are very supportive",Sargam I find this as overlooking and unnecessary and so irritating | There are fines if pay the fee late and if dont wear ID card
44,Veermata Jijabai Technological Institute - [VJTI],4.0,"Being admitted to VJTI college was a plus point for me, as it has one of the best faculty members who guide you in the best possible way. | It was a good learning experience to have an industry internship. For the internship, the placement rate was almost 100% at that time. The stipend was 15000/- per month. | Being admitted to VJTI college was a plus point for me, as it has one of the best faculty members who guide you in the best possible way.","Worst (some say, because of COVID-19), some companies come, and some students are placed, but mostly unsatisfactory. | The gender ratio is not good. The gender ratio is 10:2. There are fewer girls in the mechanical and computer branches."
45,"JNTUK University College of Engineering, Kakinada",3.9,Infrastructure facilities are very good it help convince to the study to travel | They postpone exams for us if we tell them we have movies to watch in theatres lol. | Infrastructure facilities are very good it help convince to the study to travel,Maintaince of washrooms is also bad this is also want to improved | I don't like the way that they used to correct the papers as the fail we write the correct answers
46,"Graphic Era University, School of Engineering and Technology - [GEU]",3.9,"The infrastructure at the university is excellent, with impressive architecture that gives you a genuine sense of being on a university campus. | Campus infrastructure: It has very beautiful and well maintained campus with modern infrastructure. | The infrastructure at the university is excellent, with impressive architecture that gives you a genuine sense of being on a university campus.","From timetables and class allocations to addressing student grievances, it's mess. | The classrooms are boring and tiring, creating an uninteresting environment where most students attend only for the sake of attendance or to pass the time."
47,K. J. Somaiya College of Engineering - [KJSCE],4.1,"Also, the best part is that feedback from all students is taken every semester, and the course is updated based on feedback. | There are plenty of internship opportunities. The best internship this year was with JP Morgan and Chase. They offered the position of Software Engineering Intern with a sensational stipend of Rs. | Also, the best part is that feedback from all students is taken every semester, and the course is updated based on feedback.","As in engineering, there is less break between two semesters; therefore, students prefer shorter duration internships. | They pay the entire fee for students who have poor financial conditions."
48,"GH Raisoni College of Engineering - [GHRCE], Nagpur",4.1,"The faculty members of college are best which provides all type of knowledge | The Annual fest ""Antaragini"" is the best annual event that takes place. | The faculty members of college are best which provides all type of knowledge",Bouncers are very annoying in our college because they don't let us stay anywhere in the college when we have off lectures. | This college has not any campus or ground where you can play that thing is very bad about this College of all the time
49,Mukesh Patel School of Technology Management and Engineering - [MPSTME],4.1,"The course structure is very good. It focuses on research as well as practical development skills. There are lab sessions and lectures every week with not-so-hectic timings, yet ensuring completion of the course on time. | Its a great accomplishment for everyone to get an internship at different companies and experience a great theme. | The course structure is very good. It focuses on research as well as practical development skills. There are lab sessions and lectures every week with not-so-hectic timings, yet ensuring completion of the course on time.","The exams happen sometimes, so it is not very frequent, and it makes us frustrated. | The placements are on the mediocre side as there are reputed companies arriving for campus placement, but the profile and package are not up to the mark or are less compared to other colleges."
50,Sardar Patel Institute of Technology - [SPIT],4.1,"All course instructors have pursued PhDs in their specialties, and the student-to-faculty ratio is a solid 1:60. | I have opted for a software developer internship offered by Maptek Software LLP with a 10k stipend per month. I have learned most of the coding skills and gained practical experience in DBMS during my time in this company. | All course instructors have pursued PhDs in their specialties, and the student-to-faculty ratio is a solid 1:60.","No, the college does not provide any type of internship, at least it did not provide one when I was studying there. | There is no hostel facility provided by our college. It is the worst part of our college. The outsiders dont get a place to live and end up in PG or other hostels close by, which are also expensive and costly in localities such as Andheri"
51,"Faculty of Engineering and Technology, Jain University - [FET JU]",4.1,"The course for the Btech program is lengthy; however, with the assistance of resourceful teachers and the library, I was able to prepare comprehensive notes from an examination standpoint. | In fact, Jain University has its own placement and internship cell so that all students can opt for an internship. | The course for the Btech program is lengthy; however, with the assistance of resourceful teachers and the library, I was able to prepare comprehensive notes from an examination standpoint.","The schedule is not very hectic and varies for each day of the week. | The placement for civil engineering is not as expected in my college, as it is in other institutions as well."
52,Ramdeobaba University - [RBU],4.0,"I also like the placements in the college these are best in the area. | Great fest, amazing clubs, clean campus, good internship opportunities, great canteen. | I also like the placements in the college these are best in the area.",Parking facility is really bad and student have to go downwards. | The campus is small in terms of area and sometimes it gets a little crowded during events.
53,Vallurupalli Nageswara Rao Vignana Jyothi Institute of Engineering and Technology - [VNR VJIET],4.2,The college has very good placements and has incubation centre on the college. | Faculty are Are very good and they support students in all aspects | The college has very good placements and has incubation centre on the college.,I don't like my college because Water facility is worst and Mobile data coverage is worst and Wifi facility is too worst. | I don't like this college because the Canteen food and food court food is worst here.Mangement is of money minded.
54,National Institute of Food Technology Entrepreneurship and Management - [NIFTEM],4.0,"Our course curriculum focus on both practical and theoretical knowledge equally. Also sports are given equal importance as we have 10 days sports league Every year where main focus of every batch is to make their batch win. | All the professors are friendly and well educated. They will help you at every step of your life whenever you need them. | The infrastructure of the college is dam good , the campus Is also beautiful and the ambient is also too good , with top class environment.",campus is very strict regarding giving permissions for outing | it is compulsory to take hostel even if you live nearby
55,Sri Jayachamarajendra College of Engineering - [SJCE],4.1,"Yeah, its good. The environment here is also good. One who has the ability to learn something can benefit from here as it provides excellent practical labs. The placement opportunities here are also good, especially for branches such as ECE, CSE, and ISE. | The college provides internships and always offers the best guidance and support to each and every student. | Yeah, its good. The environment here is also good. One who has the ability to learn something can benefit from here as it provides excellent practical labs. The placement opportunities here are also good, especially for branches such as ECE, CSE, and ISE.","Unfortunately, they did not have the concept of an internship in those days when I graduated. | As far as I know, there were no scholarships or loan facilities offered by the college."
56,Jaypee University of Information Technology - [JUIT],4.0,College life is very good the seniors are helpful there is no ragging policy | Faculty is very good they teacb well and ans your doubts | College life is very good the seniors are helpful there is no ragging policy,The dinner in the mess is the worst part of the meal. | Campus is very small and there are verh few places to go
57,"University Institute of Engineering, Chandigarh University - [UIE]",4.2,"Teachers are really good, supportive and helpful | Library is available 24/7 and we can take books from there | I liked that there are many department in this.",The infrastructure is not good when looked from outside | Although it is govt college but fee is increasing every year by 15%
58,"School of Engineering and Technology, NCU - [SOET]",4.1,Faculty knowledge and teaching interests | Placement average to good mostly,Less events conducted in college except educational
59,Lovely Professional University - [LPU],4.2,"The best projects will be done in our college and the companies like amazon, flipkart, cisco, capgemini, wipro provides the best services to our students . | My college had an excellent placement cell that worked tirelessly to connect students with industry opportunities | The best projects will be done in our college and the companies like amazon, flipkart, cisco, capgemini, wipro provides the best services to our students .",Faculties support you but they teach you in a boring way also don't expect them to help you out of away. | The weathter of the area which is very worst which effect the students to cause illness
60,St. Joseph College Of Engineering,3.9,"No strict staff in our college everyone has friendly | They conduct culturals, hostelday, freshersday,dj party also good | Sports and fests are the most exiting things I liked the most",Collecting money for symbosium and workshop | Morning test they will conduct of we fail after 3 pm we sit and write retest
61,Saveetha Engineering College - [SEC],4.0,Campus of the saveetha engineering is best have i ever seen. | We can choose the time table and subjects for our comfort which is a good advantage in this college | Campus of the saveetha engineering is best have i ever seen.,The above two reason is I was disliked in my college
62,Sri Sairam Engineering College,4.1,Placements in our college is very good and glvery good companies come for placement | Way of teaching was good they assist to learn practically which makes student more understandable | Placements in our college is very good and glvery good companies come for placement,The boys are not allowed to speak with girls is veri silly in our campus | The distance between the department and bus pavement is too long
63,NMAM Institute of Technology - [NMAMIT],4.0,"You will get every course you want, and each course will provide you with the best you want. | Yes, it does. I came to know about this from the senior students who say that they enjoyed and loved the experience of the internship. | You will get every course you want, and each course will provide you with the best you want.","The electives were not really electives; very few chose the new electives. So, if a certain number of people are not expected, the elective is dropped. It sounds bad, but we had to go on with it. | The only scholarship offered here is for the poor class based on the annual income of their parents."
64,"CVR College of Engineering, Ibrahimpatnam",4.1,By going to college I met my friends they are best part in my life | The best thing about this college for me is my friends obv | By going to college I met my friends they are best part in my life,"If you're a sports lover, then you'll be definitely disappointed with all the things in this college. | Strict rules, no holidays after semester, no holidays after year as well which is a bit sad."
65,Yeshwantrao Chavan College of Engineering - [YCCE],4.0,"College faculty of CSE and 1st year too have some very good teachers | Library is well equipped With beautifully arranged tables, chairs, computers and study rooms | College faculty of CSE and 1st year too have some very good teachers",They do not have collers in class it becomes difficult in summer | Classes need to improve like there are broken windows they need to improve
66,"Institute of Technology, Nirma University",4.2,"The course structure is excellent, as the college provides everything that is required for the best knowledge of the course. | Our college internship is at Best Industries, located in a particular zone of structure design. I was placed in a consultancy dealing with the cement industry, and it was a very good experience with great learning. | The course structure is excellent, as the college provides everything that is required for the best knowledge of the course.","I didnt avail, but the college has some scholarships that help poor students for studying. Banks also give loans for students tuition fees. | You have to attend classes regularly as the University has a rule that 85% attendance is compulsory for passing the course."
67,Sant Longowal Institute of Engineering and Technology - [SLIET],3.8,"Our campus is very good, the students are also very good there also the faculties. | Our campus is very good, the students are also very good there also the faculties. | Our campus is very good, the students are also very good there also the faculties.","Bad quality students , Students are not allowed to keep vehicle inside college | Curfew timing is Worst , girls have very less time 6pm or 7pm."
68,Sri Ramakrishna Engineering College - [SREC],4.1,"The course curriculum and teaching methods are a great experience with dedicated faculty and excellent infrastructure, which create an ambiance for us to learn and master the technology. | Many institutions and companies are willing to offer internships to college students. These internships are highly beneficial as they provide an opportunity to learn and gain valuable experience. | The course curriculum and teaching methods are a great experience with dedicated faculty and excellent infrastructure, which create an ambiance for us to learn and master the technology.","I have not opted for a hostel. There are separate hostels for boys and girls, which are placed apart from each other. There are 4 students in a room and a separate floor for restrooms. College days are conducted"
69,Chennai Institute of Technology - [CIT],4.2,Because it makes me what I am now this clg is the best | I like the faculty ettappan hw was very good at teaching and clearing doubts any time | Because it makes me what I am now this clg is the best,It is located from outside city which is difficult for students. | Always exams that type of things this is the disliked things
70,Institute of Aeronautical Engineering - [IARE],4.1,Faculty are the best .They will support for students education and placement too | Placements are excellent here in IARE non CSE branches also get placed | Faculty are the best .They will support for students education and placement too,"Placements in iare college is very bad , it need improvement | IARE if worst when it comes to fests, the college doesnt care about the students enjoyment and always prefers the studies which is not good."
71,Nitte Meenakshi Institute of Technology - [NMIT],3.9,Placements are excellent companies others countries like japan also take students from our college | The availability of variety of foods in our college is Excellent | Placements are excellent companies others countries like japan also take students from our college,Exam pattern of the colleges very bad they to meet some in every month approx | The lab portions are very outdated and the way it works
72,Sri Venkateswara College of Engineering - [SVCE],4.1,"I have good knowledge in production technology and services for managing the property of machine operations, such as milling, blending, and compression machines like Krosch. | We had a great experience with them. They had our contact number and we were offered a course by them. | I have good knowledge in production technology and services for managing the property of machine operations, such as milling, blending, and compression machines like Krosch.","While there is not much focus on research, the faculty is always open to new research ideas when students approach them. | The placements are not as good as they were told beforehand, especially for mechanical and civil branches. Not even one core company came for placement, which is very disappointing."
73,Rajalakshmi Engineering College - [REC],3.5,The infrastructure of the college is very good and their classroom and laboratory labs are good. | Our Co students are very kind and they helpful to smy studies | The infrastructure of the college is very good and their classroom and laboratory labs are good.,Lab facilities are very poor the instruments in the lab will be worst | The campus on rainy days will be bad as i dont like water and insects around
74,PES University - [PESU],4.0,Infrastructure of the college is very good compared to others in Bangalore | PES has a beautiful infrastructure with a lot of amenities for the students. | Infrastructure of the college is very good compared to others in Bangalore,It is too small around 30 acres and poor internet connectivity | The buses leave college at odds times making it hard for day scholars.
75,Heritage Institute of Technology - [HIT],3.9,Campus and infrastructure is quite impressive and it helps us to relax and be productive in our field | Friend I made in this campus are definitely best people I have met in these 4 year | Campus and infrastructure is quite impressive and it helps us to relax and be productive in our field,The attandance policy which is very frustrating 75 percent is followed . | Teachers sometimes speak in bengali which is difficult for non Bengal
76,Sri Krishna College of Technology - [SKCT],4.2,"The course curriculum changes every two years or after some time. As Instrumentation and Control Engineering was new in our college, they followed the Anna University Syllabus for our batch. However, the curriculum changed for the 2013-2017 batch, which was better compared to our syllabus. | There are very popular companies like Amazon, Zogo, and Google that offer us the chance to secure a position in their company with a good stipend. | The course curriculum changes every two years or after some time. As Instrumentation and Control Engineering was new in our college, they followed the Anna University Syllabus for our batch. However, the curriculum changed for the 2013-2017 batch, which was better compared to our syllabus.",The projects of this college are not so complicated; they are very worthwhile for studying in this college
77,PSNA College of Engineering and Technology,4.2,Department building are well furnished one .All are beautiful to look . | We will get an good and best friends circle in there | Department building are well furnished one .All are beautiful to look .,The assisstant of faculty member is poor in this college seems to be likely a drawback | No supports for below average students so they are facing learning issues
78,BV Raju Institute of Technology - [BVRIT],4.2,The infrastructure and the faculties with the best experience and the way they interact to student | I said placement is the one of the greatest thing in our college | The infrastructure and the faculties with the best experience and the way they interact to student,If the performace is bad then the faculty will inform to their parents | You cant get sports couaches in college it so difficult to manage.
79,University of Petroleum and Energy Studies - [UPES],3.9,The area and surrounding of UPES is the best because it is situated in Dehradun. | Food court : It's the best place to hangout with friends. | The area and surrounding of UPES is the best because it is situated in Dehradun.,The one thing I hate is the unnecessary events happening everytime. | Whether condition is very poor and it creates a lot of problem to travel
80,Vardhaman College of Engineering - [VCE],4.0,I like auditorium this is the best place to do pre events of cinema industry and conducting programs like dance and games | Atmosphere is very good n the greenery of campus is excellent | I like auditorium this is the best place to do pre events of cinema industry and conducting programs like dance and games,The college is too strict that mobile phones are banned inside if we carry mobile phones faculty will check bags randomly if we were caught just forget about the mobile | Phones are not allowed in the campus it's difficult to the students
81,BMS Institute of Technology and Management - [BMSIT],4.0,Tech fest is very good and enjoyable .. and u can even win prize money | Campus is greenary.i just loved it.Everywhere u see are plants and trees. | Tech fest is very good and enjoyable .. and u can even win prize money,Its a big campus so walking from one block another block I hate it | The faculty is not so helpful here except a very few
82,B. N. M. Institute of Technology - [BNMIT],3.8,"The best course for well-studying students should be dedicated to studying. If this is the case, then it is the best course. | Cognizant, Accenture, and more provide internship opportunities at BNMIT, and the projects will be on AEM, Java, and IoT. | The best course for well-studying students should be dedicated to studying. If this is the case, then it is the best course.","My first year of engineering did not focus on the subjects related to my field, and it was unnecessary. | College doesnt provide any internships. I havent attended any internships until now because usually, the final year students do internships. I am in the pre-final year, so I havent done any internships yet."
83,KLE Technological University,4.2,The project based learning is one of teh best in class. | I liked the atmosphere of this college this college has the best atmosphere and excellent staff kle technological university is one of the best colleges in karnataka all the aminities are available in the college . | The project based learning is one of teh best in class.,Hostel in this college are very bad cleanliness is not maintained in college hostel | Sometimes the strict college nature makes one student to hate it
84,RMK Engineering College - [RMKEC],4.0,"Campus environment is so good , well disciplined there is no unwanted activities in our college. | The thing which is like the most is the faculty members, they were so kind and helping. | Campus environment is so good , well disciplined there is no unwanted activities in our college.",There is no fests in the college cause they think that this will be divert students but by seeing all the people of our age we are getting mentally disturbed that we won't have anything like that. | Because in future we need to work with opposite gender .if we don't do it now there will be some inferiority complex .
