Serial No.,College Name,Company,Package,Job Roles,Headings
1,BITS Pilani (Pilani Campus),Paypal,34 LPA,Management Trainee,"Name of the Company, Package Offered, Job Roles, Branches Eligible"
1,BITS Pilani (Pilani Campus),Purple Oak Advisors,10 LPA,Analyst,"Name of the Company, Package Offered, Job Roles, Branches Eligible"
1,BITS Pilani (Pilani Campus),Quadrical AI,5.5 - 8 LPA,Backend Developer ( Python ),"Name of the Company, Package Offered, Job Roles, Branches Eligible"
1,BITS Pilani (Pilani Campus),Qualcomm,33.5 LPA,Software Developer,"Name of the Company, Package Offered, Job Roles, Branches Eligible"
1,BITS Pilani (Pilani Campus),RNF Technologies,8 LPA,Management Trainee,"Name of the Company, Package Offered, Job Roles, Branches Eligible"
1,BITS Pilani (Pilani Campus),SG Analytics,9 LPA,Associate Data Engineer,"Name of the Company, Package Offered, Job Roles, Branches Eligible"
1,BITS Pilani (Pilani Campus),SLB,33 LPA,Field Engineer,"Name of the Company, Package Offered, Job Roles, Branches Eligible"
1,BITS Pilani (Pilani Campus),SmartHelios,10-20 LPA,Software Engineer,"Name of the Company, Package Offered, Job Roles, Branches Eligible"
1,BITS Pilani (Pilani Campus),Tata Communications,13 LPA,Assistant Manager- Technology and Platform Development,"Name of the Company, Package Offered, Job Roles, Branches Eligible"
1,BITS Pilani (Pilani Campus),TATA Electronics,20 LPA,Growth Marketing,"Name of the Company, Package Offered, Job Roles, Branches Eligible"
1,BITS Pilani (Pilani Campus),Timetooth Technologies,8 LPA,System Engineer/Analyst,"Name of the Company, Package Offered, Job Roles, Branches Eligible"
1,BITS Pilani (Pilani Campus),Troopod.io,8-10 LPA,UI Developer,"Name of the Company, Package Offered, Job Roles, Branches Eligible"
1,BITS Pilani (Pilani Campus),TrueMeds,10-12 LPA,"SDE, Business Analyst","Name of the Company, Package Offered, Job Roles, Branches Eligible"
1,BITS Pilani (Pilani Campus),Tummee,10 LPA,SDE,"Name of the Company, Package Offered, Job Roles, Branches Eligible"
1,BITS Pilani (Pilani Campus),Vecmocon,7-10 LPA,Junior Scientist Engineer,"Name of the Company, Package Offered, Job Roles, Branches Eligible"
1,BITS Pilani (Pilani Campus),Zetwerk,10 LPA,Management Trainee,"Name of the Company, Package Offered, Job Roles, Branches Eligible"
1,BITS Pilani (Pilani Campus),Zupee,25 LPA,data engineer,"Name of the Company, Package Offered, Job Roles, Branches Eligible"
2,Institute of Chemical Technology - [ICT],Aarti Industries,8.5 LPA,Assistant Manager,"Name of the Company, Package Offered, Job Roles"
2,Institute of Chemical Technology - [ICT],Aditya birla,6.5 LPA,Process Engineer,"Name of the Company, Package Offered, Job Roles"
2,Institute of Chemical Technology - [ICT],AkzoNobel,9 LPA,Process Engineer,"Name of the Company, Package Offered, Job Roles"
2,Institute of Chemical Technology - [ICT],Alfa Laval India,NA,GET,"Name of the Company, Package Offered, Job Roles"
2,Institute of Chemical Technology - [ICT],Alfa Laval India Private Limited,10 LPA,NA,"Name of the Company, Package Offered, Job Roles"
2,Institute of Chemical Technology - [ICT],Alfa Lavel,11 LPA,Process Engineer,"Name of the Company, Package Offered, Job Roles"
2,Institute of Chemical Technology - [ICT],AVAADA,NA,GET,"Name of the Company, Package Offered, Job Roles"
2,Institute of Chemical Technology - [ICT],BASF,10 LPA,Management Trainee,"Name of the Company, Package Offered, Job Roles"
2,Institute of Chemical Technology - [ICT],Biocon,6.5 LPA,Process Engineer,"Name of the Company, Package Offered, Job Roles"
2,Institute of Chemical Technology - [ICT],Bunge India Pvt. Ltd,6.5 LPA,Operation Trainee,"Name of the Company, Package Offered, Job Roles"
2,Institute of Chemical Technology - [ICT],CIPLA,8 LPA,NA,"Name of the Company, Package Offered, Job Roles"
2,Institute of Chemical Technology - [ICT],Cipla,8 LPA,Process Engineer,"Name of the Company, Package Offered, Job Roles"
2,Institute of Chemical Technology - [ICT],Delloite,8 LPA,Management Trainee,"Name of the Company, Package Offered, Job Roles"
2,Institute of Chemical Technology - [ICT],Dr. Reddy,7.5 LPA,Process Engineer,"Name of the Company, Package Offered, Job Roles"
2,Institute of Chemical Technology - [ICT],EIL,6.5 LPA,Management Trainees,"Name of the Company, Package Offered, Job Roles"
2,Institute of Chemical Technology - [ICT],Essar Oil Limited,NA,"Graduate Engineer Trainee Project – GCC Support for Stanlow Refinery, UK","Name of the Company, Package Offered, Job Roles"
2,Institute of Chemical Technology - [ICT],Essar oils,10 LPA,Process Engineer,"Name of the Company, Package Offered, Job Roles"
2,Institute of Chemical Technology - [ICT],Exxon Mobil,11 LPA,Design Engineer,"Name of the Company, Package Offered, Job Roles"
2,Institute of Chemical Technology - [ICT],Henkel adhesive technologies,9.3 LPA,Process Engineer,"Name of the Company, Package Offered, Job Roles"
2,Institute of Chemical Technology - [ICT],Honeywell,10 LPA,"Design Engineer, Sales, Process Engineer","Name of the Company, Package Offered, Job Roles"
2,Institute of Chemical Technology - [ICT],HPCL,17.5 LPA,Process Engineer,"Name of the Company, Package Offered, Job Roles"
2,Institute of Chemical Technology - [ICT],InsightsHIGH,7-10 LPA,Data Scientists / Data Analysts Business Consultants (Chemicals & Industrial),"Name of the Company, Package Offered, Job Roles"
2,Institute of Chemical Technology - [ICT],Jhonson mathey,9 LPA,Production Engineer,"Name of the Company, Package Offered, Job Roles"
2,Institute of Chemical Technology - [ICT],KRISHNA ANTIOXIDANTS PVT LTD,NA,Trainee Marketing & Sales,"Name of the Company, Package Offered, Job Roles"
2,Institute of Chemical Technology - [ICT],Lupin,9 LPA,Assistant Manager,"Name of the Company, Package Offered, Job Roles"
2,Institute of Chemical Technology - [ICT],Reliance,NA,"Design Engineer, Process Engineer","Name of the Company, Package Offered, Job Roles"
2,Institute of Chemical Technology - [ICT],SRF,10 LPA,Process Engineer,"Name of the Company, Package Offered, Job Roles"
2,Institute of Chemical Technology - [ICT],Tata electronics,12 LPA,Management Trainee,"Name of the Company, Package Offered, Job Roles"
2,Institute of Chemical Technology - [ICT],TCS,9 LPA,Management Trainee,"Name of the Company, Package Offered, Job Roles"
2,Institute of Chemical Technology - [ICT],UPL,11 LPA,"R&D, Process Engineer, Production Engineer, Sales","Name of the Company, Package Offered, Job Roles"
3,Vellore Institute of Technology - [VIT University],Highest Package,INR 1.02 CPA,INR 1.2 CPA,"Particulars, Placements Statistics (2023), Placements Statistics (2022)"
3,Vellore Institute of Technology - [VIT University],Average Package,INR 9.23 LPA,INR 9 LPA,"Particulars, Placements Statistics (2023), Placements Statistics (2022)"
3,Vellore Institute of Technology - [VIT University],Number of Students Placed,14345,7683,"Particulars, Placements Statistics (2023), Placements Statistics (2022)"
3,Vellore Institute of Technology - [VIT University],Number of Super Dream Offers (INR 10 LPA & above),4461,3419,"Particulars, Placements Statistics (2023), Placements Statistics (2022)"
3,Vellore Institute of Technology - [VIT University],Number of Dream Offers (INR 6 LPA & above),3453,4660,"Particulars, Placements Statistics (2023), Placements Statistics (2022)"
3,Vellore Institute of Technology - [VIT University],Number of Recruiters,904,975,"Particulars, Placements Statistics (2023), Placements Statistics (2022)"
3,Vellore Institute of Technology - [VIT University],Top Recruiters,"TCS, Microsoft, Qualcomm, Adobe, Amazon etc","Paypal, DE Shaw, Dyte etc","Particulars, Placements Statistics (2023), Placements Statistics (2022)"
4,Thapar Institute of Engineering and Technology - [Thapar University],Accenture,NA,Application Analyst Engineer,"Company, Package Offered, Job Role"
4,Thapar Institute of Engineering and Technology - [Thapar University],Adani Group,INR 6.50 LPA,GET,"Company, Package Offered, Job Role"
4,Thapar Institute of Engineering and Technology - [Thapar University],Airtel,INR 14.17 LPA,SDE,"Company, Package Offered, Job Role"
4,Thapar Institute of Engineering and Technology - [Thapar University],Amazon,INR 27.00 - INR 40.00 LPA,SDE,"Company, Package Offered, Job Role"
4,Thapar Institute of Engineering and Technology - [Thapar University],Amdocs,INR 10 LPA,SDE,"Company, Package Offered, Job Role"
4,Thapar Institute of Engineering and Technology - [Thapar University],American Express,INR 17.74 LPA,SDE,"Company, Package Offered, Job Role"
4,Thapar Institute of Engineering and Technology - [Thapar University],Atlassian,INR 25.00 - INR 45.00 LPA,SDE,"Company, Package Offered, Job Role"
4,Thapar Institute of Engineering and Technology - [Thapar University],Axis Bank,INR 8.22 LPA,SDE,"Company, Package Offered, Job Role"
4,Thapar Institute of Engineering and Technology - [Thapar University],Bain and company,INR 14.00 LPA,Analyst,"Company, Package Offered, Job Role"
4,Thapar Institute of Engineering and Technology - [Thapar University],BCN,INR 14.00 LPA,SDE,"Company, Package Offered, Job Role"
4,Thapar Institute of Engineering and Technology - [Thapar University],Bharti Realty,INR 6.50 LPA,GET,"Company, Package Offered, Job Role"
4,Thapar Institute of Engineering and Technology - [Thapar University],Blackrock,INR 18 - 22 LPA,SDE andRQA role,"Company, Package Offered, Job Role"
4,Thapar Institute of Engineering and Technology - [Thapar University],Deloitte,INR 8.10 LPA,SDE and Analyst Role,"Company, Package Offered, Job Role"
4,Thapar Institute of Engineering and Technology - [Thapar University],Ernst & Young,INR 8.60 LPA,Data Analyst,"Company, Package Offered, Job Role"
4,Thapar Institute of Engineering and Technology - [Thapar University],Ericsson,INR 7.50 LPA,SDE,"Company, Package Offered, Job Role"
4,Thapar Institute of Engineering and Technology - [Thapar University],FabHotels,INR 8.00 - INR 12.00 LPA,SDE,"Company, Package Offered, Job Role"
4,Thapar Institute of Engineering and Technology - [Thapar University],Fastenal,INR 17 LPA,SDE,"Company, Package Offered, Job Role"
4,Thapar Institute of Engineering and Technology - [Thapar University],Flipkart,NA,SDE,"Company, Package Offered, Job Role"
4,Thapar Institute of Engineering and Technology - [Thapar University],FNZ,INR 10.00 LPA,SDE,"Company, Package Offered, Job Role"
4,Thapar Institute of Engineering and Technology - [Thapar University],GamesKraft,INR 16.00 - INR 24.00 LPA,SDE,"Company, Package Offered, Job Role"
4,Thapar Institute of Engineering and Technology - [Thapar University],Google,NA,SDE,"Company, Package Offered, Job Role"
4,Thapar Institute of Engineering and Technology - [Thapar University],Hero,INR 8.00 LPA,GET,"Company, Package Offered, Job Role"
4,Thapar Institute of Engineering and Technology - [Thapar University],Honda cars,INR 6.00 LPA,GET,"Company, Package Offered, Job Role"
4,Thapar Institute of Engineering and Technology - [Thapar University],HSBC,INR 9 LPA,SDE,"Company, Package Offered, Job Role"
4,Thapar Institute of Engineering and Technology - [Thapar University],IDFC Bank,INR 18.40 LPA,SDE,"Company, Package Offered, Job Role"
4,Thapar Institute of Engineering and Technology - [Thapar University],Incedo,INR 7.55 LPA,SDE,"Company, Package Offered, Job Role"
4,Thapar Institute of Engineering and Technology - [Thapar University],IOL Chemicals & Pharmaceuticals Limited (IOLCP),INR 6.00 LPA,GET,"Company, Package Offered, Job Role"
4,Thapar Institute of Engineering and Technology - [Thapar University],Ion,INR 14 LPA,SDE and Analyst Role,"Company, Package Offered, Job Role"
4,Thapar Institute of Engineering and Technology - [Thapar University],JPMC,NA,SDE and RQA role,"Company, Package Offered, Job Role"
4,Thapar Institute of Engineering and Technology - [Thapar University],Juniper Networks,NA,SDE intern,"Company, Package Offered, Job Role"
4,Thapar Institute of Engineering and Technology - [Thapar University],Kipi.bi,NA,SDE Intern,"Company, Package Offered, Job Role"
4,Thapar Institute of Engineering and Technology - [Thapar University],KPMG,INR 6 LPA Fixed + Variable + Other benefits,Analyst,"Company, Package Offered, Job Role"
4,Thapar Institute of Engineering and Technology - [Thapar University],Larsen &tuorbo,INR 6.00 - INR 6.57 LPA,SDE and GET,"Company, Package Offered, Job Role"
4,Thapar Institute of Engineering and Technology - [Thapar University],Linkedin,NA,SDE,"Company, Package Offered, Job Role"
4,Thapar Institute of Engineering and Technology - [Thapar University],Mahindra,INR 8.00 - INR 13.00 LPA,GET,"Company, Package Offered, Job Role"
4,Thapar Institute of Engineering and Technology - [Thapar University],Maruti Suzuki,INR 7.40 LPA,GET,"Company, Package Offered, Job Role"
4,Thapar Institute of Engineering and Technology - [Thapar University],Natwest Group,INR 13.00 - INR 14.00 LPA,SDE,"Company, Package Offered, Job Role"
4,Thapar Institute of Engineering and Technology - [Thapar University],NuvertOS,INR 10.00 – INR 13.00 LPA,SDE,"Company, Package Offered, Job Role"
4,Thapar Institute of Engineering and Technology - [Thapar University],Nvidia,NA,SDE intern,"Company, Package Offered, Job Role"
4,Thapar Institute of Engineering and Technology - [Thapar University],OneBanc,INR 12.00 - INR 15.00 LPA,SDE,"Company, Package Offered, Job Role"
4,Thapar Institute of Engineering and Technology - [Thapar University],Oyo rooms,INR 9.00 - INR 12.50 LPA,SDE,"Company, Package Offered, Job Role"
4,Thapar Institute of Engineering and Technology - [Thapar University],PlanetSpark,INR 6.50 - INR 7.10 LPA,NA,"Company, Package Offered, Job Role"
4,Thapar Institute of Engineering and Technology - [Thapar University],Salesforce,NA,SDE,"Company, Package Offered, Job Role"
4,Thapar Institute of Engineering and Technology - [Thapar University],Samsung,INR 7.80 LPA,SDE and Analyst Role,"Company, Package Offered, Job Role"
4,Thapar Institute of Engineering and Technology - [Thapar University],SEED Global Education,NA,NA,"Company, Package Offered, Job Role"
4,Thapar Institute of Engineering and Technology - [Thapar University],Short Hills,INR 4.20 - INR 6.00 LPA,SDE,"Company, Package Offered, Job Role"
4,Thapar Institute of Engineering and Technology - [Thapar University],Smart Brew,INR 7.00 LPA,NA,"Company, Package Offered, Job Role"
4,Thapar Institute of Engineering and Technology - [Thapar University],Sonalika,INR 4.20 LPA,GET,"Company, Package Offered, Job Role"
4,Thapar Institute of Engineering and Technology - [Thapar University],STGI(summit group),NA,SDE and testing role,"Company, Package Offered, Job Role"
4,Thapar Institute of Engineering and Technology - [Thapar University],Tata,INR 7.65 LPA,GET,"Company, Package Offered, Job Role"
4,Thapar Institute of Engineering and Technology - [Thapar University],TCS,INR 3.30 - INR 11.50 LPA,SDE,"Company, Package Offered, Job Role"
4,Thapar Institute of Engineering and Technology - [Thapar University],Turing,INR 7.00 LPA,Data Analyst,"Company, Package Offered, Job Role"
4,Thapar Institute of Engineering and Technology - [Thapar University],Verizon,INR 15.05 LPA,SDE,"Company, Package Offered, Job Role"
4,Thapar Institute of Engineering and Technology - [Thapar University],Zomato,INR 25 LPA,SDE,"Company, Package Offered, Job Role"
5,Indian Institute of Space Science and Technology - [IIST],No. of recruiting companies participated,37,-,"Particulars, Placements Statistics(2019-20), Placements Statistics(2020-21)"
5,Indian Institute of Space Science and Technology - [IIST],Total no. of students placed,127,42,"Particulars, Placements Statistics(2019-20), Placements Statistics(2020-21)"
5,Indian Institute of Space Science and Technology - [IIST],Highest CTC,INR 10.5 LPA,INR 11.5 LPA,"Particulars, Placements Statistics(2019-20), Placements Statistics(2020-21)"
5,Indian Institute of Space Science and Technology - [IIST],Average CTC,-,INR 7.6 LPA,"Particulars, Placements Statistics(2019-20), Placements Statistics(2020-21)"
5,Indian Institute of Space Science and Technology - [IIST],Top recruiters,"Agnikula Cosmos, ISRO, Delta Electronics, Tata Consultancy Services, Subex, Carl Zesis etc","ISRO, ISAC Bengaluru, Tata Consultancy Services, Mahindra & Mahindra Ltd, Viz Experts, Analog Devices, Mercedes Benz etc","Particulars, Placements Statistics(2019-20), Placements Statistics(2020-21)"
6,Birla Institute of Technology - [BIT Mesra],Number of recruiters,192,235,"Particulars, Placements Statistics 2023, Placements Statistics 2022"
6,Birla Institute of Technology - [BIT Mesra],Number of Placement offers,982,1257,"Particulars, Placements Statistics 2023, Placements Statistics 2022"
6,Birla Institute of Technology - [BIT Mesra],Number of students placed,700,NA,"Particulars, Placements Statistics 2023, Placements Statistics 2022"
6,Birla Institute of Technology - [BIT Mesra],Highest Salary,INR 51 LPA,INR 58.33 LPA,"Particulars, Placements Statistics 2023, Placements Statistics 2022"
6,Birla Institute of Technology - [BIT Mesra],Average Salary,INR 11.57 LPA,INR 10.10 LPA,"Particulars, Placements Statistics 2023, Placements Statistics 2022"
6,Birla Institute of Technology - [BIT Mesra],Lowest Salary,NA,INR 3.60 LPA,"Particulars, Placements Statistics 2023, Placements Statistics 2022"
6,Birla Institute of Technology - [BIT Mesra],Top recruiters,"Aditya Birla, Indian Oil, Mahindra Accenture","Hashed In, Persistent Systems, Cognizant, Daffodil Software","Particulars, Placements Statistics 2023, Placements Statistics 2022"
7,Amity University,Total Number of Offers,"11,000+",No data found,"Particulars, Placement Statistics (2023)"
7,Amity University,Total Number of Recruiters,"1,050",No data found,"Particulars, Placement Statistics (2023)"
7,Amity University,Highest Package,INR 61.75 LPA,No data found,"Particulars, Placement Statistics (2023)"
7,Amity University,Top Recruiters,"Adobe, Accenture, TCS, Flipkart, Microsoft",No data found,"Particulars, Placement Statistics (2023)"
8,SRM Engineering College,No data found,No data found,No data found,No data found
9,SSN College of Engineering - [SSNCE],Number of Students Looking for Job,671,No data found,"Batch, 2020"
9,SSN College of Engineering - [SSNCE],Percentage of Students Placed,91%,No data found,"Batch, 2020"
9,SSN College of Engineering - [SSNCE],Total Number of Recruiters,370,No data found,"Batch, 2020"
9,SSN College of Engineering - [SSNCE],Highest CTC,INR 64 LPA,No data found,"Batch, 2020"
9,SSN College of Engineering - [SSNCE],Average CTC,INR 6.19 LPA,No data found,"Batch, 2020"
9,SSN College of Engineering - [SSNCE],Top 10%,INR 15.16 LPA,No data found,"Batch, 2020"
9,SSN College of Engineering - [SSNCE],Top 25%,INR 11.12 LPA,No data found,"Batch, 2020"
10,SASTRA University,Aarbee Structures Pvt Ltd.,2.4LPA,GET,"Company Name, CTC Offered, Role, Branches Eligible"
10,SASTRA University,Accenture,6.5 LPA,Associate Software Engineer,"Company Name, CTC Offered, Role, Branches Eligible"
10,SASTRA University,Accenture,6.5 LPA,Associate Software Engineer,"Company Name, CTC Offered, Role, Branches Eligible"
10,SASTRA University,Arun excello,2.5 LPA,Asst. Engineer,"Company Name, CTC Offered, Role, Branches Eligible"
10,SASTRA University,Ashok Leyland,7.5 LPA,GET,"Company Name, CTC Offered, Role, Branches Eligible"
10,SASTRA University,Bonfiglioli,4.5 LPA,GET,"Company Name, CTC Offered, Role, Branches Eligible"
10,SASTRA University,Caterpillar,12.26 LPA,Associate Enigneer Mechanical Design,"Company Name, CTC Offered, Role, Branches Eligible"
10,SASTRA University,DAV Group of Schools faculty recruitment 2023-24,5.4 LPA,Faculty Recruitment,"Company Name, CTC Offered, Role, Branches Eligible"
10,SASTRA University,Deloitte,6 LPA,Data Analyst,"Company Name, CTC Offered, Role, Branches Eligible"
10,SASTRA University,Delta Electronics,6 LPA,GET,"Company Name, CTC Offered, Role, Branches Eligible"
10,SASTRA University,FACE PREP-2024 BATCH-CAMPUS HIRING,5 LPA,Associate Trainee,"Company Name, CTC Offered, Role, Branches Eligible"
10,SASTRA University,Facilio,5 to 8 LPA,GET,"Company Name, CTC Offered, Role, Branches Eligible"
10,SASTRA University,Fenice Energy,5 LPA,Engineer,"Company Name, CTC Offered, Role, Branches Eligible"
10,SASTRA University,Ferco Shutters and Seating System(Dubai),3.4 lakh per annum and For Dubai AED 2500/ & AED 1000 for housing,B.Tech Mechanical,"Company Name, CTC Offered, Role, Branches Eligible"
10,SASTRA University,Flipkart is hiring women engineers – 2024 Batch,10 LPA,Software Development Engineer,"Company Name, CTC Offered, Role, Branches Eligible"
10,SASTRA University,Fortinet,10 LPA,GET,"Company Name, CTC Offered, Role, Branches Eligible"
10,SASTRA University,Ganit,6 LPA,Data Analyst,"Company Name, CTC Offered, Role, Branches Eligible"
10,SASTRA University,Genpact,10 LPA,One Data & AI,"Company Name, CTC Offered, Role, Branches Eligible"
10,SASTRA University,Grindwell Norton,5.7 LPA,GET,"Company Name, CTC Offered, Role, Branches Eligible"
10,SASTRA University,Grindwell Norton,5.7 LPA,GET,"Company Name, CTC Offered, Role, Branches Eligible"
10,SASTRA University,Guvi,7 LPA,Junior Full Stack Developer,"Company Name, CTC Offered, Role, Branches Eligible"
10,SASTRA University,HL Mando,5 LPA,GET,"Company Name, CTC Offered, Role, Branches Eligible"
10,SASTRA University,ibus hiring for 2024 batch students,8 LPA,B.Tech - CSBS and B.Tech - CSE(AI&DS),"Company Name, CTC Offered, Role, Branches Eligible"
10,SASTRA University,JK Fenner,4.5 LPA,GET,"Company Name, CTC Offered, Role, Branches Eligible"
