Serial No.,College Name,Info
11,Manipal Institute of Technology - [MIT],"Manipal Institute of Technology offers, UG and PG courses namely, B.Tech, M.Tech, and M.C.A. under various specializations. B.Tech in Computer Science and Engineering (CSE) is the flagship course of the institute. Candidates who wish to apply for the program are required to appear in the Manipal Entrance Test (MET). | Admissions to the B.Tech program at Manipal Institute of Technology are offered through MET counselling. Seats are allocated on the basis of MET scores, availability of seats, category, and other factors. Admissions to the M.Tech program are done on the basis of GATE/MET scores, while M.C.A admissions are based on the merit list released by the institute."
12,P.S.G College of Technology - [PSGCT],"Established in 1951, PSG College of Technology has an annual enrolment of 9000+ students. Affiliated to Anna University, its courses are accredited by AICTE and NBA. PSG College of Technology has been ranked 63rd by NIRF 2022 rankings and 9th by India Today among Engineering institutions in India. In terms of placement, the college has its own dedicated placement office headed by a Dean Placements. It is visited by 90 companies annually. Check PSG College of Technology Placements | PSG College of Technology’s flagship program is based on TANCET exam scores. The final selection for MBA is done on the basis of the entrance exam. Further, the selected candidates are required to apply for TANCA Counselling. Apart from MBA/ PGDM programs, PSGCT Coimbatore offers BE/B.Tech, B.Sc courses at the undergraduate level and M.Sc, ME/M.Tech, MCA courses at a postgraduate level along with MS, M.Phil and PhD courses. For most of the courses, admission is based on the entrance exam followed by counselling. Check PSGCT Coimbatore Courses and Fees"
13,Sathyabama Institute of Science and Technology,"Sathyabama University is known for its flagship program of B.E/B.Tech which is being offered in 19 specializations . For the B.E/B.Tech admissions at Sathyabama University, candidates are required to appear for the SAEEE examination and participate in the counseling conducted by the university for final seat allotments. Sathyabama University charges a fee of INR 2.45 Lakhs per year for its B.Tech program. | Sathyabama University also offers Admissions other UG and PG courses such as B.Arch, B.Des, B.Sc, B.Com, B.A, B.A LLB, M.E, M.Tech, M.Arch, MBA, M.Sc, MCA, and Ph.D. on the basis of entrance examination conducted by the university. The selection criteria, dates, eligibility, and application process are discussed in the article."
14,Kalinga Institute of Industrial Technology - [KIIT],"KIIT – Kalinga Institute of Industrial Technology Admission 2024 is open through KIITEE 2024. KIIT University offers admission to UG, PG, and Research programs in various disciplines through its different schools. For UG and PG course admissions at KIIT, candidates are required to appear for the KIITEE examination and participate in the counseling for final seat allotments."
15,Siksha 'O' Anusandhan University - [SOA],"SOA University accepts UG and PG admission in the fields of Engineering, Pharmacy, Nursing, Agriculture, Law, Management and Hotel Management on the basis of SAAT Score. Candidates having test scores of other relevant National Entrance Exams such as  CAT/ XAT/ MAT/ JEE Main/ GPAT/ GATE/ NEET/ CLAT can also apply for admission at SOA University. After the entrance score is declared, the university conducts online/offline counselling of students for final admissions.SOA University admission fee is INR 4,000. | Direct Link to Apply for SOA Admissions"
16,K L University - [KLU],"KL (Deemed to be) University offers various courses at undergraduate, postgraduate and Doctorate levels. The university also offers Integrated B.Tech and M.Tech by Research programs in different specializations. KL (Deemed to be) University follows a common application process for all the courses. Students can apply online or offline on the payment of INR. 1000/- as application fee. | Read More: KL University Fees Structure"
17,Kalasalingam Academy of Research and Education,"Kalasalingam Academy of Research and Education offers various UG, PG and Ph.D programs. Under UG program it offers B.Tech, B.Arch, B.Sc, B.Com, BA, BBA, B.Voc and BCA. Under PG program, KARE offers M.Tech, MBA, MA, M.Sc, MSW, M.Arch and MCA. It also offers Ph.D and M.Phil programs in various streams as the Research department of the University. | Admission to B.Tech and B.Arch program is done through KUEE and NATA scores respectively. For M.Tech, GATE/ KUEE scores are accepted. Rest of the programs consider candidates’ scores of the qualifying examintion. Based on the merit, selection is been conducted."
18,R V College of Engineering - [RVCE],"RVCE Admission is entrance-based for all courses. The institute offers B.E. at the undergraduate level. At the postgraduate level, RVCE Bangalore offers M.Tech & MCA courses. Candidates with a valid score in KCET/ COMEDK UGET can apply for B.E. admission. For M.Tech, applicants can submit their GATE or PGCET scores. Admission to MCA will be done on the basis of KMAT/ PGCET scores. | RVCE is famous for its 4-year BE course which is offered in 15 specializations. Interested applicants who belong to Karnataka are offered admission into the course based on the KCET score. However, selection of students belonging to other states depends upon COMEDK UGET score."
19,Ramaiah Institute of Technology - [RIT],"Ramaiah Institute of Technology Admission is done on the basis of merit in various national and state level entrance examinations. Ramaiah Institute of Technology offers B.Tech and B.Arch at UG level. At PG level, it offers M.Tech, MBA and MCA. The institute also provides admission in Research programs which include Ph.D. Eligible candidates can apply to any of the courses by filling out an online application form at the institute’s portal. | For admission into B.E and B.Arch course, the institute accepts KCET/ COMEDK and NATA scores respectively. Candidates who are seeking admission in M.Tech are required to possess a valid score in GATE/PGCET exam. While, admission to MBA and MCA depends upon KMAT/PGCET score. In case of MBA, RIT Bangalore also considers the score of MAT/CMAT for selection."
20,International Institute of Information Technology - [IIIT-B],IIIT Bangalore admissions are based on national level exam scores. The institute also conducts written tests for MSc and MS programs. Admission to IIIT Bangalore iMTech (BTech + MTech) is done via JEE Main scores. IIIT Bangalore admission procedure for MTech includes GATE scores. Admission to MSc in Digital Society and MS program is done through a written test followed by a PI round. The institute has concluded PG admissions for this year.
21,BMS College of Engineering - [BMSCE],"BMS College of Engineering Admission is entrance based. Students can also apply through management quota admission under various UG, PG and Ph.D. courses. Admission to B.E. courses are granted on the basis of KCET/ COMEDK. For admission to M.Tech, applicants must submit valid scores of PGCET or GATE. Candidates applying for BMSCE MBA admission need to submit KMAT/ CMAT/ PGCET/ MAT scores. Any relaxation in academic eligibility is extended only to Karnataka candidates belonging to the SC/ ST/ OBC categories."
22,Karunya Institute of Technology and Sciences - [Karunya Deemed University],"Karunya Institute of Technology and Sciences (Karunya Deemed University) was founded in the year 1986 and it is located in Coimbatore, Tamil Nadu. Karunya Deemed University offers various UG, PG, Integrated and Research courses in the field of Arts, Commerce, Engineering, Management, Science and Technology. The institute is accredited by NAAC “A++” Grade."
23,Kumaraguru College of Technology - [KCT],"KCT is famous for its Engineering programs offered at both UG and PG level which includes B.E, B.Tech, M.E and M.Tech. Apart from these, the college also offers MBA, MCA and Research programs like Ph.D. or M.S. | 3.1 Selection Criteria"
24,Punjab Engineering College University of Technology - [PEC],"PEC Chandigarh University Admission 2024 are expected to start soon. PEC University offers BTech, MTech, BDes and PhD courses.The BTech program is offered in 11 specializations and the MTech program is offered in 21 Specializations. The PEC Chandigarh BTech admission is based on JEE Main score and seat allocation is done as per JoSAA/ CSAB. For MTech, PEC Chandigarh University accepts GATE scores and participates in CCMT counselling for seat allocation."
25,Jaypee Institute of Information Technology University - [JIIT],"Jaypee Institute of Information Technology, Noida was established in 2003 is an educational institute fully backed and supported by Jaypee Group of Companies. In the pursuit of its objective, JIIT currently offers B.Tech, M.Tech, MBA and Ph.D. degrees."
26,Indian Institute of Information Technology - [IIIT],"IIIT Allahabad is known for its flagship program of Electronics and Communication Engineering (ECE) in the B.Tech program. The cutoff range for the CSE branch of the B.Tech program is 4486 to 43601 in the JoSAA Counselling. The cutoff marks for all 6 rounds of JoSAA are out. Candidates can check IIIT Allahabad JEE Main Cutoff  here. | For the B.Tech admissions at IIIT Allahabad, candidates are required to appear for JEE Main examination and participate in the JoSAA counseling for the final seat allotments. IIIT Allahabad charges INR 1.65 Lakhs per year for its B.Tech program."
27,Dayalbagh Educational Institute Faculty of Engineering,"Dayalbagh Educational Institute Faculty of Engineering is located in Agra, Uttar Pradesh. It was established in the year 1915. Dayalbagh Educational Institute Faculty of Engineering, Agra offers multiple under graduate and postgraduate programs in various branches of engineering and technology. The institute also enrolls students for doctoral programs each academic year. | Applicants who are willing to enroll for admission to under graduate courses must have completed senior secondary school. The selection procedure is merit based. Candidate must hold an undergraduate degree from a reputed university to register and fill in the application forms for the Master’s degree courses."
28,Mepco Schlenk Engineering College,"Mepco Schlenk Engineering College, Sivakasi is a well-equipped engineering college in Tamilnadu. With 13 departments in total, the college offers B.Tech, M.Tech, MBA, MCA, and Ph.D. programs. The college offers various specializations in each course as per the student's interest. | As all the Engineering Colleges accept admissions based on National level Entrance Tests, Mepco Schlenk Engineering College also does the same for the respective programs."
29,Sri Venkateswara University College of Engineering,no data found
30,Dhirubhai Ambani Institute of Information and Communication Technology - [DA-IICT],"DAIICT Admission 2024 is ongoing. DAIICT Gandhinagar offers admission to courses like B.Tech, M.Tech, M.Sc, M.Des and PhD. Admission to these courses is entirely entrance-based. The institute accepts admissions based on valid scores in JEE-Main, GUJCET, GATE, CEED & DAT. Application forms can be filled in an online mode by visiting the official website. DAIICT charges INR 1770 (INR 1500 plus GST 18%) as an application fee. | B.tech is one of the most opted courses at DAIICT Gandhinagar. The total seat intake is 432 (includes all categories – Gujarat, All India, NRI & FN). B.Tech Admission at DAIICT will be done based on JEE-Main or GUJCET Scores. For M.Tech Admission, the institute accepts GATE scores.  Furthermore, it also grants M.Tech admission to Non-GATE qualified candidates based on entrance examinations conducted at selected centers all over the country. DAIICT B.Des Admission is based CEED/ DAT + Interview."
31,Bharati Vidyapeeth Deemed University Pune,no data found
32,Hindustan Institute of Technology and Science - [HITS],"Hindustan University Admission for the academic year 2024 is open. Hindustan Institute of Technology and Science (HITS) offers UG, PG and Doctoral courses in multiple specializations in the fields of Engineering, Commerce, Law, Liberal Arts and Science. Hindustan University Admission is based on the merit score secured by the candidates in the respective entrance examinations. The university also offers various UG and PG courses through digital education. Eligible candidates can apply for admission at HITS online by visiting the official website. | Read More: Hindustan University courses & fees"
33,C. V. Raman Global University,C. V. Raman Global University Admission 2024 is both merit and entrance based followed by the OJEE counselling.
34,Sri Krishna College of Engineering and Technology - [SKCET],"Sri Krishna College of Engineering & Technology (SKCET), established in 1998 is a private, autonomous institution. It is affiliated to Anna University and is NAAC & NBA accredited. With an NIRF ranking of #97 for 2019, Sri Krishna College of Engineering & Technology has received INR 6.77 crore grant by now for research. There are courses like B.E, B.Tech, M.E, MBA and MCA are offered for admissions, at present. The admissions are based on entrance scores and on merit followed by state counseling. | Admission to B.E & B.Tech is offered through TNEA counseling. To be eligible for admissions, students who have pursued their HSC from Tamil Nadu only would be offered a seat at this college on the basis of merit. M.E admissions are offered to those students who qualify TANCET or who are already GATE qualified. The students are eligible if they have 50% in B.E/B.Tech in a relevant discipline of study. Applications are accepted through TANCA. For MBA admissions students must qualify either CAT or TANCET and have an undergraduate degree in any discipline would be eligible to apply for admissions. Applications are accepted through TANCA for MBA counseling."
35,Kongu Engineering College - [KEC],"Kongu Engineering College (KEC), Tamil Nadu was established in 1984. KEC is an affiliated college of Anna University. The college offers admission to various UG, PG courses focusing on Engineering and Technology. Admission to B.E and B.tech will be based on the performance in Tamil Nadu Engineering Admissions (TNEA). Selection to M.E and M.Tech will be according to the marks secured in either GATE/CEETA PG along with GD and personal interview. Admission to MBA and MCA will be based on the marks secured in MAT/TANCET followed by the group discussion and personal interview. | Read about KEC Erode Courses & Fee"
36,"Vignan's Foundation for Science, Technology, and Research","Vignan University Admission 2024 is open. The application form can be downloaded from the official website of Vignan University and the application fee must be paid through Demand Draft. Vignan University offers admission to UG, PG and Ph. D programme focusing on Science and Technology. Higher Secondary Examination (12th) examination qualified candidate will be eligible for admission in UG courses. Bachelor’s degree holder in the relevant subject can apply for admission in Post Graduation courses. Candidate must hold a PG degree for admission in Ph.D. programme. | Admission to B.Tech/B. Pharm will be based on the performance in V-SAT conducted by the university or based on JEE Mains/Advanced AP EAMCET/ TS EAMCET. The selection in BBA/BCA will be based on the V-JET conducted by the University and admission to B.Sc will be Merit-Based. Students must have qualified GATE for admission in M.Tech. The final selection is based on Personal Interview round. CAT/ MAT qualified applicants will be considered for MBA admission. Admission to MCA will be based on the performance in AP ICET/TS ICET conducted by Andhra Pradesh. Ph.D. admission will be based on NET score followed by an Interview round."
37,B.S. Abdur Rahman Crescent Institute of Science & Technology - [BSAU],"B.S. Abdur Rahman University is located in the outskirts of Chennai city. It is accredited with “A” grade by NAAC. The university is ranked 3rd among the Engineering Institutions in Tamil Nadu. The university offers several courses at undergraduate, postgraduate and research level to aspiring students who want to pursue their career as per their choice. | Admission in Engineering is done through an entrance exam conducted by the university or JEE for UG and GATE for PG courses."
38,Bannari Amman Institute of Technology - [BIT],"Bannari Amman Institute of Technology is affiliated to Anna University and is accredited by NAAC with an ‘A Grade’. It offers B.E and B.Tech at UG level and M.E, M.Tech and MBA at PG level. All the mentioned courses are approved by AICTE, New Delhi. Candidates who are seeking admission in BIT, can select any of the courses provided they meet the eligibility. | For securing admission in UG courses, the minimum requirement is a pass in 10+2. The qualified students have to appear in the TNEA Counselling where they will be allotted a seat."
39,Institute of Engineering and Management - [IEM],"Institute of Engineering & Management, Kolkata commonly known as IEM Kolkata is a private Engineering & Management institute located in Kolkata, West Bengal. The college provides multiple programs at the UG & PG levels namely BTech, BBA, BCA, MTech, MBA, and MCA. The institute accepts national and state-level entrance examinations for admission to these courses. The BTech program at IEM Kolkata is offered at the UG level in 11 different specialisations. Candidates who are willing to pursue BTech at this institute must have qualified for the WBJEE/ IEMJEE/ JEE Mains with valid scores, and further the seat allocation process will be done through the respective counselling. For the year 2023, the WBJEE closing cutoff for the general category remained at 11422 ranks in round 1. BTech (Lateral) program is also available for the students if they have secured valid marks in the WB-JELET exam. | IEM Kolkata also offers BCA, BBA, and MSc (Computer Science) through the Common Entrance Test (CET) conducted by MAKAUT. Students can also choose to opt for the MBA program offered by this institute for a duration of 2 years. To be eligible for this program, candidates have to qualify for the CAT/ JEMAT exams followed by a PI and GD round. Alongside, IEM Kolkata also offers admission to the MCA and MTech programs at the PG levels. The institute accepts WBJECA, and GATE scores respectively for allowing admission to thse programs."
40,Sona College of Technology,Sona College of Technology is a private engineering college that was established back in 1997 by Mr. M. S. Chockalingam and affiliated to Anna University. The college is well-reputed due to its highly experienced teaching faculty and higher placement facility. The NIRF 2022 ranked the college at 174th position under the engineering college category and it also comes among the top engineering colleges in Tamil Nadu.
41,Jain University - [JU],"Jain University also offers various programs through distance learning through Jain Online Bangalore. The university offers online MBA, BBA, MCA, MA, B.Com, and M.Com courses. Admission to the Jain Online Courses is based on the performance of the candidate in the last qualifying examination. | Jain Deemed-to-be University offers admission to various UG, PG, Research, and Vocational courses across its 12 Schools and 25 Departments. Jain University offers a wide range of courses under all major streams including Engineering and Technology, Management, Commerce, Humanities & Social Sciences, Creative Arts & Design, Sciences, and others. B.Tech, MBA, M.Tech, MCA, BBA, B.Com, and M.Com are some of the most popular and sought courses at Jain University. | Check More: Jain University Placements"
42,Chaitanya Bharathi Institute of Technology - [CBIT],"At the UG level, the institute offers a B.E. in 7 specializations and a B.Tech. in four specializations for 4 years. Admission to B. Tech is done based on marks scored in the Engineering Agricultural and Medical Common Entrance Test | At the PG level, the college offers an M.E. and M.Tech. degree under 7 and 2 specializations respectively. Admission to the same is done based on marks scored in the Post-Graduate Engineering Common Entrance Test (PGECET) or Graduate Aptitude Test in Engineering. Admission to MBA/ME is done based on marks scored in the Integrated Common Entrance Test."
43,New Horizon College of Engineering - [NHCE],"New Horizon College of Engineering is an Autonomous engineering college affiliated to Visvesvaraya Technological University (VTU). It was established in 2001. At present, the college offers BE, M.Tech, MBA and MCA programs at UG and PG level respectively. New Horizon College of Engineering (NHCE) also offers Ph.D. and M.Sc (Engg.) by Research in different specializations at Doctorate level."
44,Veermata Jijabai Technological Institute - [VJTI],"Veermata Jijabai Technological Institute (VJTI) was established in 1887 and offers various academic courses in B.Tech, M.Tech, MCA, Diploma and Ph.D. Admission to most of the programs are entrance based through a predetermined process conducted by DTE, Maharashtra. The counselling is through an online Centralised Admission Process (CAP). | The institute is approved by AICTE and accredited by the NBA. VJTI is affiliated to the University of Mumbai. It is a private, autonomous institute that was granted financial and academic autonomy in 2004."
45,"JNTUK University College of Engineering, Kakinada",no data found
46,"Graphic Era University, School of Engineering and Technology - [GEU]",no data found
47,K. J. Somaiya College of Engineering - [KJSCE],"K. J. Somaiya College of Engineering, Mumbai admissions are currently open. The institute offers B.Tech, M.Tech, Diploma, Certificate, and Ph.D. programs in different specializations. Candidates applying for B.Tech are evaluated based on valid scores in MHT-CET / JEE Mains (Session 1 & 2) / SAT  (Scholastic Assessment Test)/ PERA-CET / CUET Exam. Admission to the M.Tech Programme will be offered on the basis of the Graduate Aptitude Test in Engineering (GATE) or PERA CET - 2024 scores. | Direct Link to Apply for KJ Somiaya College of Engineering Admissions"
48,"GH Raisoni College of Engineering - [GHRCE], Nagpur","Established in 1996, GH Raisoni College of Engineering Nagpur is a private autonomous institute affiliated with Rashtrasant Tukadoji Maharaj Nagpur University. An AICTE and UGC-approved institute, GHRCE Nagpur has been accredited by the NBA in the Tier I category; it has been accredited with an ‘A+’ grade by NAAC, and ranked 111th by the NIRF in their list of top engineering colleges in India. It has also been shortlisted among the top 100 institutions by ARIIA 2019. | GHRCE has an erudite, experienced and decorated faculty of 240 with 68 Ph.D. holders. The faculty includes members who have been awarded by institutes like IIT Kharagpur, IIT Madras, Stanford University, and so on."
49,Mukesh Patel School of Technology Management and Engineering - [MPSTME],"Mukesh Patel School of Technology Management and Engineering (MPSTME) is a Mumbai-based and NAAC-accredited (A++ grade) well-known private college that came into existence in 2006 under the aegis of Narsee Monjee Institute of Management Studies and offers an extensive set of Undergraduate and Postgraduate courses in the discipline of Engineering and Technology, Business Administration and Computer Application etc."
50,Sardar Patel Institute of Technology - [SPIT],"Sardar Patel Institute of Technology (SPIT), located in Mumbai, Maharashtra, was established in 1995. Affiliated to Mumbai University, the institute offers courses at UG, PG and PhD level. At UG level, the institute offers B.Tech program whereas M.Tech and MCA degree courses are offered at postgraduate level. In addition to it, the institute offers Ph.D program in four disciplines."
51,"Faculty of Engineering and Technology, Jain University - [FET JU]","Table of Contents | Faculty of Engineering and Technology, Jain University (FET JU) is a private college located in Bangalore, Karnataka. This deemed college was established in 2005 and is affiliated to Jain University, Bangalore. The institute offers a B.Tech and lateral entry admission to B.Tech course at the UG level. FET JU also offers M.Tech at PG level."
52,Ramdeobaba University - [RBU],"Ramdeobaba University (RBU) founded in 1984, is an active member and part of ‘Study in India’ initiative of MHRD, Government of India. RBU follows admissions guidelines set by the University and State CET Cell. | Admissions are offered in B.E, M.Tech, MBA, MCA, and Ph.D. degree programs. Applications for admissions for B.E, M.Tech, MBA and MCA are accepted through State CET Cell. While admission applications for Ph.D. are accepted through RTMNU."
53,Vallurupalli Nageswara Rao Vignana Jyothi Institute of Engineering and Technology - [VNR VJIET],"Vallurupalli Nageswara Rao Vignana Jyothi Institute of Engineering and Technology (VNRVJIET) is an engineering institute located in Hyderabad, Telangana state. The institute was affiliated to Jawaharlal Nehru Technological University. | VNRVJIET offers B.Tech and M.Tech courses at the UG and PG level in the area of Engineering and Technology."
54,National Institute of Food Technology Entrepreneurship and Management - [NIFTEM],"National Institute of Food Technology Entrepreneurship and Management (NIFTEM), Sonepat, is deemed to be a university which is set up by the Ministry of Food Processing Industries. It was established in 2012 and is located in Sonepat, Haryana. NIFTEM offers B.Tech., M.Tech., MBA and Ph.D. programs in various specializations."
55,Sri Jayachamarajendra College of Engineering - [SJCE],"Sri Jayachamarajendra College of Engineering (SJCE) is situated in Mysore and was established in 1963. It has earned a reputation for itself as one of the best engineering colleges in the state of Karnataka, offering numerous undergraduate and postgraduate courses across various disciplines of engineering. The institute offers programs like BE, MTech, MBA and MCA at the UG and PG level. For admission to the BE course, candidates must have appeared for KCET and have passed the 10+2 level. For postgraduate courses like MTech, admission is made on the basis of performance in the PGCET/GATE examination. For postgraduate courses like MCA & MBA, candidates must appear for PGCET."
56,Jaypee University of Information Technology - [JUIT],"Jaypee University of Information & Technology, Solan was established in the year 2002. It offers 7 specializations under the B.Tech program, 4 under M.Tech, and 8 under the Ph.D. program. B.Tech is a full-time undergraduate program of four years with a total of 510 seats. M.Tech is a two-year full-time course with an intake capacity of 18 seats per specialization. JUIT offers Ph.D. as both full-time and part-time. Candidates also have the choice of sponsored Ph.D. | The application process is done online . Candidates shall have to pay an amount of INR 1200 (UG) or INR 1000 (PG/Ph.D.) as the application fee. The minimum eligibility criteria for the B.Tech program is 10+2 with 60% aagregate. For admission to MTech Program, 60% aggregate marks or 06 CGPA in scale of 10 at UG level is must."
57,"University Institute of Engineering, Chandigarh University - [UIE]",no data found
58,"School of Engineering and Technology, NCU - [SOET]",no data found
59,Lovely Professional University - [LPU],no data found
60,St. Joseph College Of Engineering,"St Joseph College of Engineering (SJCE) is situated in Sriperumbudur, Chennai and was established in 1989. St. Joseph’s College of Engineering is a private engineering college which is affiliated to Anna University, Chennai. | 1.1 Eligibility & Selection Process"
61,Saveetha Engineering College - [SEC],"Saveetha Engineering College (SEC) is an autonomous and private college, which was established in 2001. It is affiliated to the Anna University and follows the state norms for offering admissions. | NIRF ranks Saveetha Engineering College at #124 among IIT’s, and other Universities in India. The college is also ranked by Anna University among 10% of those engineering colleges out of 3,000 that qualify for their academic performance."
62,Sri Sairam Engineering College,"Sri Sairam Engineering College (SSEC) was established in the year 1995 by Sapthagiri Educational Trust in Chennai. SSEC has been ranked amongst Top Ten Engineering Colleges with 38 gold medals and a great placement record of 95% with TCS, Wipro, Capgemini, etc. | It is affiliated to Anna University and is approved by AICTE Delhi. SSEC accepts more than 1500 students and offers 5 UG and PG courses in Engineering and Management."
63,NMAM Institute of Technology - [NMAMIT],"NMAM Institute of Technology, Nitte was founded in the year 1986 and is situated in Udupi, Karnataka.  The institute is affiliated to Visvesvaraya Technological University, Belgaum. It offers admission to undergraduate and postgraduate courses to students. The Nitte University Common Admission Test (NUCAT) is being conducted for the purpose of determining the eligibility/merit, for admission to the First Year of full-time BTech, MTech & MCA programs at the NMAMIT, Nitte Karkala campus of Nitte (Deemed to be University). | NMAMIT, Nitte Karkala offers full-time B.Tech in 15 specializations, M.Tech in 7 specializations, MCA, and Ph.D. programs."
64,"CVR College of Engineering, Ibrahimpatnam","CVR College of Engineering is a private autonomous institution which is affiliated to Jawaharlal Nehru Technological University, Hyderabad (JNTUH). The courses offered at CVR College of Engineering are AICTE approved and 7 of its undergraduate programs are NBA accredited."
65,Yeshwantrao Chavan College of Engineering - [YCCE],"Yeshwantrao Chavan College of Engineering (YCCE) Nagpur is a private college, established in 1984. The institute is accredited Grade ‘A’ by NAAC and is affiliated to Rashtrasant Tukadoji Maharaj Nagpur University. | The institute is approved by AICTE and offers admissions to B.Tech and M.Tech programmes with seven specialisations in each course. Admissions into undergraduate programmes are based on MH –CET or JEE Mains score card, while for postgraduate courses, GATE scores are considered."
66,"Institute of Technology, Nirma University","Institute of Technology, Nirma University (ITNU), (formerly known as Nirma Institute of Technology) is a private engineering college located at Ahmedabad, Gujarat, India. The institute was founded by Nirma Education and Research Foundation (NERF) in the year of 1995. | Institute of Technology, Nirma University offers educational programs at undergraduate and postgraduate levels focusing mainly on the Engineering field. The University also provides doctoral programs in vast areas of research through its various departments."
67,Sant Longowal Institute of Engineering and Technology - [SLIET],"Established in 1991, Sant Longowal Institute of Engineering and Technology is a government institute with a deemed university status. An AICTE and UGC-approved institute, it has been approved by the NAAC with a ‘B+’ grade, and ranked 133rd among engineering colleges in India by the NIRF. SLIET is fully funded by the MHRD. | The institute boasts of an accomplished faculty, modern infrastructure and a strong alumni network. It has 185 faculty members, with 95 PhD holders."
