Serial No.,College Name,Question,Answer
5,Indian Institute of Space Science and Technology - [IIST],Should I take aerospace engineering at IIST or ECE at MNNIT Allahabad?,"In the year 2020, the ranking of IIST was #33 by NIRF for B.Tech courses. On the other hand, MNNIT Allahabad was ranked #48th by NIRF for B.Tech courses. With excellent teaching staff, IIST is the 1st space institute in Asia to offer programs in space science and technology.
Admission:
IIST:
The candidate must have completed 10+2 with a minimum of 75% from a recognized boardin Physics, Chemistry, Mathematics.
A valid score in JEE Advanced is required.
The fees for the 1st year inAerospace engineering course is Rs. 96,800.
The total intake of the program is 60 seats.
MNNIT Allahabad:
Candidate must have completed 10+2 in Science stream with a minimum 75% marks.
Candidate must have passed the entrance exam, i.e., JEE Main.
For ECE 1st year, the feeis Rs 84,666.
The general cut off for home state students ranged from 3600 to 7128 and for other state students it is from 4615 to 6752.
Placements
In IIST:
Top recruitersare TCS, Adobe, Wipro, Mercedes Benz (India) Limited, Philips, Intel, Bosch, Cypress, UTC Aerospace Systems, etc.
The highest salary offered to the student of the institution was INR 10 LPA.
In MNNIT Allahabad:
90.63% was the placement rate of MNNIT Allahabad for theECE department.
Some of the top recruitersof MNNIT Allahabad are the Indian Navy, Dell, Canon, BHEL, E-bay, Adobe, Bharat Institute of Technology, etc.
The highest salary offered to the students is INR 25.33 LPA and the average salary offered to the students is INR 10.95 LPA.
Choosing the subject depends on the individual itself. IISR will be really good if the candidate is very much interested in space and technology, as the institute primarily focuses only on space studies. Being a part of the 1st institute in the world to offer complete range of programs in space and technology will be plus point. Late Dr. A. P. J. Abdul Kalam was the former Chancellor of the University. The city life of Kerala is much better than Allahabad. Now, based on all the data and their interest the candidate can choose the subject and institute accordingly."
5,Indian Institute of Space Science and Technology - [IIST],"Which will be a better choice, 5 year MTech in IIT Bhubaneswar or 4 year chemical in IIT Hyderabad or aerospace in IIST?","M.Tech from IIT Bhubaneswar makes sense only if you are willing to study more on research-based topics of the subject. It is best if one is looking for a career in Teaching, Researching, etc. to further gain knowledge about the subject and not work in MNCs.
IIT Hyderabad ranks 8th in the Engineering category by NIRF 2020. The number of students who got placed from the Chemical Engineering department in the 2019 placements was 26. The average salary package offered to students with Chemical Engineering is 15 lakhs per annum.
IIST is a space institute under the Department of Space. The students from IIST are recruited as scientists and engineers in the Department of Space facilities and Indian Space Research Organization centers all over India. They receive a starting salary of 10 lakhs per annum. Facilities like Infrastructure, Library, sports facilities, Computer labs, clinics, Data centers in IIST are much better and well equipped than the IITs.
Thus it is your choice to opt for what course you are interested in."
6,Birla Institute of Technology - [BIT Mesra],How is BIT Mesra as a college?,"BIT Mesa, also known as Birla Institute of Technology, Mesa, is known to be one of the most prestigious engineering and technical institutes in India. It offers undergraduate, postgraduate, and doctoral programs in various fields of engineering, technology, applied sciences, management, and architecture. 
The college has a great emphasis on research and innovation and has ties with several national and international institutions. It is ranked among the top 50 institutions by almost all the ranking agencies. However, the right choice for one person may be wrong for the other, thus making it a matter of preference. So it’s better to
Visit the college personally
Speak to the current batch and faculty members 
Research the program you are willing to get enrolled in
BIT Mesra and all allied top colleges like IIT and NIT are not only normal colleges but institutes of national importance."
6,Birla Institute of Technology - [BIT Mesra],How is BIT Mesra in terms of placement?,"Every coin has two sides and likewise, every institute has its strengths and weaknesses. BIT Mesra has a number of flaws pertaining to its education and culture. I have listed a few 
One of the biggest cons of this institute is that students aren’t encouraged or inclined towards research and innovations at all. All they care about is getting a decent GOA and eventually a job. 
The faculty is least interested in conducting quality research and discovery. They just conduct monotonous classes for the sake of it just to earn money.
The institute has excellent infrastructure but its utility is poor. There are supercomputers and computational tools, however, they aren’t used to the fullest to bring big achievements. 
Even in this age and era, students are judged on the basis of personal relationships, attendance count; and GPA. 
The focus on securing a high GPA has definitely affected the quality of education and resulted in a rat race for placements.
I really hope the institute makes amendments and brings about a massive research culture soon!"
6,Birla Institute of Technology - [BIT Mesra],"Which among BIT, Mesra and MIT, Manipal is better in terms of academics, placements, faculty, internships, infrastructure, hostel and overall personality development?","There are various reasons combined together that have resulted in deteriorating education opportunities and quality at BIT Mesra. Despite the huge amount of funds ranging into hundreds of crores, the institute has been receiving, there is no improvement in the situation at all.  Here are a few reasons why BIT Mesra has suffered a deteriorating situation over the past few years
C.K. Birla Group is financially highly unstable and thus adds to the insecurity of the institute as a whole. 
The government of Jharkhand has bad ties with BIT because the CM of Jharkhand was kicked out of BIT without a degree.
The faculty is worse than VIT, Manipal, RVCE, etc. The poor quality of facilities is the major reason for its drastic downfall. Most of the professors are underqualified or not interested in teaching.
The college promotes zero research culture and this has resulted in a gradual downfall. 
There is a huge communication gap between the administration and students. Students should be given positions in administration and the administration should work on improving the facilities such as the incubation center for the betterment of the institute.
The T n P Cell is also responsible for the fall in the placements. They have minimal connections with alumni and fail to attract better companies.
The institute lacks International Collaborations for undergraduate internships and research. 
The students should work hard to bring about the above changes if they want to save their college from falling into the pit."
7,Amity University,What are the bad things about Amity University Noida?,"Some of my friends graduated from Amity University Noida. Following are the few things they complain about. 
Everyone is required to maintain a minimum attendance of 75%. Anyone who is unable to do so is barred from appearing in the examinations. 
Other than the course work students are required to study subjects like Environmental Studies, FBL, Behavior Science, etc. They have to give examinations for these courses as well. It adds extra stress. Often teachers aren’t interested in teaching these subjects as well.
There is no mess system. Even if you are a hosteller you will have to pay for breakfast, lunch, dinner daily.
Other than CSE, the placement scenario isn’t good. Only a few mass recruiters visit the campus placement.
A pointer system is used to analyze and calculate marks. Your actual mark will get reduced in this pointer scale system."
8,SRM Engineering College,No data found,No data found
9,SSN College of Engineering - [SSNCE],"Which college should I choose? SSN College Chennai, Amrita University Coimbatore or SASTRA University Tanjore?","You will be shortlisted based on your board score. The selection process is followed by a computer-based aptitude test and a personal interview session. My friend appeared for this exam and she had mentioned that the mathematics section was taken from JEE Main and there were certain questions based on logic.
The interviewers would ask for certain proofs of whatever you have accomplished. So, you would have to carry along your certificates as they ask about your participation in extracurriculars and look at the certificates as proof. These certificates can be of anything you have partaken in dancing, singing, drama or any other activity you like.
In the interview, they will consider things like your JEE marks, passions, and ambition in life. Plus, the obvious- why do you want to take admission in SSN College, and what all options do you consider as your backup options. This entire interview process checks what kind of a person you are in terms of talent. It will be an advantage if you can speak fluently in English."
9,SSN College of Engineering - [SSNCE],Which is better: Anna University or SSN?,"The hostel life at SSN College of Engineering is worth remembering. It is a place that unites all the students and builds innumerable memories apart from different cultural and financial backgrounds, therefore giving you a family-like feeling away from your home. There is complete privacy and freedom for all the students.
All the hostellers are attracted by the ambiance and at the same time, the hostel gives a complete study environment to all the students.
You end up making lots of friends with whom you can interact and exchange gossips regarding the various happenings.
There are different groups with whom you can debate on topics like cricket, or football leagues, discussing things regarding studies and whatnot.
The mess is not that good so students eat mostly in various cafes or streets building memories with friends.
Battling for water is one of the funniest incidents that often happen in the hostel. Students don't take bath for 2-3 days, which is considered part and parcel of college life.
The rooms are well-ventilated with comfortable cots so that the students feel very lazy and sometimes miss the morning class.
The hostel life at SSN College of Engineering is full of freedom, it is solely your responsibility to use that in a particular way. You should create a perfect balance between your fun and studies and at the same time, you can enjoy college life to the fullest."
10,SASTRA University,How good are placements at SASTRA university?,"I have a few friends from SASTRA University and here are a few of the pros and cons of the university according to them.
Pros:
It is the only private university in Tamilnadu to take admission through JEE Mains. Their admission process is merit-based and transparent.
The student crowd of the university is great. You will be in a competitive environment.
SASTRA University has the lowest fees among the universities of the same league.
Cons: 
The mess food is not that good.
My friends also complain about hostel facilities.
You won’t have many chances to visit home.
These are a few of the things that you need to know about SASTRA University."
10,SASTRA University,What are the pros and cons of studying in SASTRA University?,"Sastra University is one of the most reputed institutes in South India, especially for engineering. In 2020, it was ranked 50 for university and 38 for B.Tech by NIRF. I have a few friends from Sastra University. 
Here are some of the information regarding the institute that my friends shared. 
Infrastructure:
There are costly research facilities, i.e. ASK1 and ASK2. There are plenty of things that you can explore if you are genuinely interested. 
For branches like ECE, Mech, Civil, CSE the laboratory facilities provided are excellent.
The classrooms have projectors.
Sastra offers hostel accommodation for their students. The hostel facilities are decent. There is a post office and ATM near the hostels. The campus has two canteens i.e Canopy and Krishna Canteen, on-campus that offers decent food at affordable prices. There are a few eateries around the campus too.
Faculty and Curriculum: 
The faculty base of the institute is great. 
The curriculum was renewed recently. It is updated with the industry requirements.
Mark System and Scholarships:
Sastra follows a GPA system. Having a decent GPA can help you get scholarships and even a chance to sit for placement in reputed companies. If you have a GPA of around 8.5, you can sit for companies like Amazon, Cypress, etc. Although most companies allow students with a 7.5 CGPA to sit for placements.  
Placement: 
The placement record of the institute is great. In the 2021 placement drive, the highest CTC offered by the university was 27 LPA. 
Overall, Sastra University is great. It will offer great infrastructure, decent facilities, and placement at an affordable fee."
10,SASTRA University,How is Sastra University?,"I have a few friends from Sastra University. According to them, college life at Sastra is good. It offers decent academic facilities. Here are some of the things that you need to know about the institute.
Dress-code for boys is shirts, jeans or formal trousers. For girls, it’s Kurti or salwar. 
Hostel rules are more lenient for boys. They can stay out until 9 PM. Girls are only allowed to stay out till 6. 
Try to make a few friends, if you want to have a good hostel life. If you are from different states, you may feel isolated at first. But try to communicate with others, that way you can find like-minded people.
Overall, you will have good experiences at Sastra University."
11,Manipal Institute of Technology - [MIT],Which one is better: VIT or MIT Manipal?,"Yes, it’s definitely worth paying 16 Lakhs for Manipal Institute of Technology. However, you should change your mindset regarding ROI. You shouldn’t consider education as something that will give you an ROI instantly. You need to change that perspective else you won’t be able to fly high. It’s illogical to compare numbers like fees and salary packages. 
The primary purpose of education is to prepare you for life’s challenges. The place that gives you wings to fly. Basically, college life is about identifying yourself.
Manipal is an institute offering a plethora of opportunities. The crowd is from every nook and corner of the world, every walk of life and educational background. Manipal gives you the skills to actively participate in every field. The academics are delivered by some of the best faculty and non-academics are promoted through various clubs and committees. At the end of 4 years, MIT will give you clarity of thought and the confidence to lead your life on your own terms."
11,Manipal Institute of Technology - [MIT],Is it worth paying 16 lakhs for Manipal Institute of Technology?,"Manipal Institute of Technology (MIT), Manipal is the first self-financing engineering college in India. The institute has been ranked 61 among the top engineering colleges in India by NIRF 2023. Based upon a few reviews the key aspects of this institute are as follows
A Thriving Campus Life: MIT is not just about academics; it's a vibrant hub of opportunities. You must join student clubs, including technical ones, to explore your passions beyond the classroom.
Sports Galore: If you're a sports enthusiast, you're in for a treat! MIT boasts semi-professional cricket and football teams, guaranteeing an adrenaline-packed experience and fierce competition.
Culinary Delights: When it comes to food, Manipal has you covered. With two fantastic Mexican restaurants and a variety of options, you'll rarely be disappointed by the gastronomic adventures you can embark on. Plus, the college mess is a cut above the rest, making sure you're well-fed and satisfied.
Balancing Recreation: It's true that Manipal is known for its lively social scene. While temptations are around, remember that your choices are what matter most. Find the right balance between academics and recreation to enjoy a fulfilling college experience.
Supportive Faculty: The professors at MIT, especially in Mechanical and Civil engineering, are both knowledgeable and approachable. While the education system may focus on achieving high marks, you'll have experts to guide you along the way.
Placements and Beyond While placements have their challenges, MIT provides you with the tools to shine in higher studies. It's an excellent choice if you aspire to continue your education and build a strong foundation for future success.
In conclusion, the Manipal Institute of Technology (MIT) offers a dynamic campus life, a strong sports culture, diverse culinary options, and a balance between academics and recreation."
11,Manipal Institute of Technology - [MIT],What are your reviews of Manipal Institute Of Technology (Manipal)?,"As a student of Manipal Institute of Technology, here are some things I would like to share with you-
Campus Life- Manipal offers a great campus life. There are student clubs and technical clubs. Technical clubs include- The Solar Mobil Project and Formula Manipal. The dramatics societies don’t perform much but they are a great place for networking.
Sports facilities- The college has its own semi professional leagues- MIT Cricket League and MIT Football League. 
Food- The campus has good eateries including two Mexican restaurants. Even the hostel mess is decent over here.
Academics- The curriculum and labs need to be updated, especially for ME and CE. Over here, learning is theoretical rather than practical. Like any other engineering college, you’ll face lots of assignments and tests. Teachers give importance only to marks. This is especially true for CSE, EEE and ECE branches.
Faculty- The faculty for mechanical and civil is liberal and qualified. Unfortunately however, most teachers at MIT look down upon students with low grades.
Crowd- The crowd is quite diverse. You’ll interact with people from various cultural backgrounds. Manipal gives ample freedom and opportunities to its students for their personality development. However, the fees are very high.
Placements- Except for the top 10% in CSE and ECE, low packages are offered to students. Majority ends up getting mass recruited in brands like TCS. Student intake is increasing, and number of core companies visiting the campus is decreasing. Thus, very average placements are secured for such a high fee.
Higher Studies- Manipal will offer support for your higher studies. Opting for an MSc. after your graduation from Manipal, is a good option.
At Manipal you’ll develop good interpersonal skills. But the fees aren’t justified considering its faculty, academics and placement quality."
11,Manipal Institute of Technology - [MIT],What is your review of Manipal Institute Of Technology (Manipal)?,"If you work in a central government-funded institution, you will definitely receive the paycheque on time that is the last working day of the month. However, the situation may not be the same in state government institutions where salaries are not received on time.
I have a few friends in Kasturba Medical College, AIIMS, and JIPMER and all of them told me that they receive their salary exactly on the last day of the month.
However, many other less-reputed hospitals and medical colleges, dont pay their residents and interns or they receive the paycheck extremely late. I believe in order to create a strong healthcare system, we must cater to basic necessities such as paying the healthcare workforce on time."
11,Manipal Institute of Technology - [MIT],"Do the doctors and residents working in famous hospitals like AIIMS, Manipal, CMC, JIPMER and other top medical colleges get their paycheck on time?","Here is a rough estimate of the total expenditure for a BTech course at MIT Karnataka.
Total Tuition Fees ( BTech): INR 18.62 Lakhs 
Hostel + Mess fees: Around 4–5 Lacs depending on the hostel you choose
Travel expense: On average you will be spending 750-1000 per month. So the cost of a 9-month stay for 4 years will be 1000*36= INR 36000
Travel expense from home to college: This varies from person to person because if you live far away, you will have to travel by airplane. Assuming, you will be taking 4 trips a year, the cost will be around 1 Lakh.
Misclieous Expenses: Around INR 5000 per month. So 5000 x 9 x 4 = 180000 INR.
The above estimate does take into account the money you spend partying or going on trips. Also, it's important to note that the above estimate is purely based on my speculations and may vary from person to person."
11,Manipal Institute of Technology - [MIT],"Which among BIT, Mesra and MIT, Manipal is better in terms of academics, placements, faculty, internships, infrastructure, hostel and overall personality development?","Manipal Institute of Technology has one of the best hostel facilities in India. Depending on your budget you can either opt for a single occupancy room with an AC or a triple occupancy room with no AC and a common bathroom. But you don’t have to worry as the common baths are very well maintained and hygiene is taken care of.
There are washing machines and dryers on every floor. There are also facilities for Solar water heaters, so you can get hot water throughout the day.
The hostels are well-secured, especially for girls and the hostel wardens are very friendly too.
There is a night canteen that serves food till 1 am. 
So, Manipal Institute Of Technology has one of the best hostel facilities in India so you can put your worries to rest!"
12,P.S.G College of Technology - [PSGCT],Is Amrita Coimbatore better than PSG Tech?,"According to some of my classmates staying at the PSG Hostel, they offer a home-like stay and the best facilities that you expect from a hostel. You are going to love the experience with your friends and hostel mates.
Pros :
There are fewer restrictions but the wardens, caretakers are very friendly.
You can stay in the hostel even during your college timings.
You can change your room if you have some problem without any hassle.
The mess food has a variety of foods which are tasty as well as healthy.
They have different food for people from different regions so you have a broad range to choose your food from.
Big grounds full of greenery.
The TV and gaming room can be accessed anytime.
From 2nd year you can go out on Saturdays.
Different festivals are celebrated.
Facilities like gym, library, high-speed wifi are also provided.
Cons :
Girls have to enter the hostel premises by 6:30 pm
Girls don’t get to go out regularly on weekends
Girls can only go home on alternate weekends
It is strict for girls mainly and for boys, there are no such limitations or strictness."
12,P.S.G College of Technology - [PSGCT],Is it worth getting into PSG Tech through the management quota for CSE?,"One of my close friends studies at PSG Tech. According to him, it is the most sought-after department in engineering counselling due to its excellent placement record.
Since it was established, the ECE department has taken pride in producing one-of-a-kind engineers who have gone on to become entrepreneurs, teaching professionals, managers, scientists, and administrators at the highest levels.
Some important facts about this Institute you must know:
It is one of India's top 20 engineering institutes.
They have almost 50 faculty members, including 25 PhD holders. They have 30+ years of experience.
It has cutting-edge lab facilities, including a Center of Excellence with core industry titans such as Agilent, Free scale, Infineon, Intel, Texas Instruments, Analog Devices, and Key Sight.
It is one of India's few institutes with TEQIP Phase labs. Furthermore, it is also one of the three government-aided institutions in Tamil Nadu with the highest number of students enrolled.
Categories
ECE at PSG Tech
Course Fee
2.00 lakh
Highest CTC
21 LPA
Average CTC
5 LPA
Robert Bosch, Qualcomm, Cisco, Tata ELXSI, Intel, Caterpillar, Nvidia, Texas Instruments, HP, Zoho Samsung R & D, Analog Devices, Juniper, NetApp, Mentor Graphics, Titan, Yantra Vision, Hubino, and many other IT companies visit campus for placements."
13,Sathyabama Institute of Science and Technology,How good is placement at Sathyabama University?,"I completed my B.Tech from Karunya University, but I can tell you a bit about Sathyabama as well. 
Sathyabama offers decent academics, good quality mess food, and good placements. But it is located very far away from the main city (Chennai). Moreover, its infrastructure is not up to the mark. Its biggest disadvantage is that students of the opposite gender are penalized for even interacting with each other. Boys and girls are separated right from the counseling process. 
Karunya University is located in a beautiful and serene landscape, and surrounded by mountains on all sides. It has good infrastructure and quality education. Its placements are average. Its hostels are good, and the mess food is good as well. It has strict rules only for first years. It has a diverse student population, with students from other Indian states and countries as well. Hostel is mandatory for B.Techs, but not for some degrees. 
It charges high fees, and some of its departments have poor placements. The rules are very strict about clean shaving. The faculty takes out personal grudges on students’ internal grades. Most of the hostels are located far away from the campus. 
According to me, Anna University affiliated colleges are much more affordable for B.Tech studies. So you may consider them instead of these two universities."
13,Sathyabama Institute of Science and Technology,How can you get admission in Sathyabama University and Hindustan University?,"If you want better education, good placements, and decent living standards, join Sathyabama University. On the other hand, if you want an affordable college and cheaper living standards, join LNCT Bhopal. Even LNCT offers decent placements, so do not worry on that front.
Make your choice based on your family’s economic condition. If there’s no financial constraint, I would recommend you opt for Sathyabama University."
14,Kalinga Institute of Industrial Technology - [KIIT],What is the fee structure for a 4-year B.Tech at KIIT University?,"The total fee for BTech and BTech lateral entry is INR 14.91 lakh and INR 11.37 lakh, respectively. Here are the semester-wise fees of various courses offered in BTech.
Program
Duration
Semester-wise Fees
B.Tech in Civil, Electrical, Mechanical, Electronics & Telecommunication, Electronics & Computer Science Engg. Electronics and Electrical Engg, Aerospace Engg, Mechatronics, Mechanical Automobile, Chemical Technology) 
4 Years (8 semesters) 
Rs. 1,75,000/- 
(B.Tech in Computer Science & Engg, Information Technology, Computer Science and System Engg, Computer Science and Communication Engg.
4 Years (8 semesters)  
Rs. 1,92,000/-  
Biotechnology - Dual Degree (B.Tech & M.Tech)
5 Years (10 semesters)  
Rs. 1,75,000/- 
Additionally, the overall Registration Fees and Examination fees for every semester is INR 1000. The registration fees for the 1st semester will be collected at the time of counseling and for the rest of the semesters, the registration fees will be collected at the beginning of each semester. Examination Fees will be collected during the Form Fill up for the Semester Examination."
