Serial No.,College Name,Info Data
11,Manipal Institute of Technology - [MIT],"Yes, it’s definitely worth paying 16 Lakhs for Manipal Institute of Technology. However, you should change your mindset regarding ROI. You shouldn’t consider education as something that will give you an ROI instantly. You need to change that perspective else you won’t be able to fly high. It’s illogical to compare numbers like fees and salary packages."
12,P.S.G College of Technology - [PSGCT],"PSG College of Technology commonly known as PSGCT was established in 1951 as the first private Engineering Institution in Tamil Nadu by G.R. Damodaran. It is affiliated to Anna University and is located in Coimbatore. PSGCT is ranked 63rd position in the Engineering category & 89th in the Management category by NIRF 2023. Popularly PSGCT offers courses in Science & Technology, Engineering, and Management. B.E. & B.Tech admissions are based on TNEA Counselling. While M.E, M.Tech, MBA, PGDM, and MCA are based on TANCET followed by TANCA Counselling. GATE is also accepted for M.E. and M.Tech. The PhD admissions at the college are based on GATE / NET / JRF / PSGCT Entrance scores."
13,Sathyabama Institute of Science and Technology,"Sathyabama Institute of Science and Technology, Chennai is a Christian Minority Institution established in 1987. It is a deemed-to-be University accredited with Grade ‘A’ by National Assessment and Accreditation Council (NAAC). Sathyabama Institute of Science and Technology offers various Undergraduate, Postgraduate, and Doctoral Programs in the field of Engineering, Architecture, Dental, Arts, Commerce, and Science. Admission to these courses is done on the basis of the national-level exams conducted all over the country."
14,Kalinga Institute of Industrial Technology - [KIIT],"KIIT - Kalinga Institute of Industrial Technology is a private university, established in 1992 in Odisha, Bhubaneswar. KIIT is accredited with NAAC A++ grade and approved by UGC & AICTE. KIIT is ranked 15th under the “University” category by NIRF 2024. KIIT University Bbsr ranked 601 - 800 in Time Higher Education University Ranking 2024. Further, KIIT has joined the World Technology Universities Network (WTUN) by signing the Network’s Consortium Collaboration agreement, providing the students with numerous opportunities. Kalinga Institute of Industrial Technology is among 20 Universities in the world. KIIT also got approval from the Australia-India Critical Minerals Research Hub (AICMRH) under the SPARC Scheme by the Ministry of Education, Government of India and has become a member among 17 Indian institutions and 11 Australian institutions that are involved in this program. The is spread over an area of The institute has more than enrolled in various programs."
15,Siksha 'O' Anusandhan University - [SOA],"Siksha ‘O’ Anusandhan University (SOA), formerly known as SOA University is a private Deemed-to-be University established in the year 2007 in Bhubaneshwar, Odisha. SOA University is UGC-approved and accredited by NAAC with an A++ grade. It is one of the 35 universities in India to be ranked internationally by QS. The university has topped the overall chart in the state and ranked 24 overall by NIRF India Rankings 2024. It has Granted with Category-I Graded Autonomy Status by UGC, Govt. of India. SOA University has been ranked at 15 in University Category and 27 in Engineering Category by MHRD NIRF 2023. The university Ranked 3rd Nationally for Swachh Campus. SOA University has NABH accredited SUM Hospital and NABL accredited Diagnostics Laboratory. The University offers UG, PG and doctoral courses in the disciplines of Engineering, Pharmacy, Management, Sciences etc."
16,K L University - [KLU],"KLU-The Deemed to be University is accredited by COA, PCI with an A++ grade by NAAC. It is also recognized by UCG, DSIR, AICTE, and BAR Council of India. K L University Vijayawada offers degree programs in Engineering, Architecture, Pharmacy, Commerce, Arts, etc. K L University is ranked 2nd in Andhra Pradesh according to NIRF ranking in the year 2023 and it has been ranked 44th among all other universities according to All India Ranking. The most popular courses at K L University are BTech and MTech. Check KL University Course & Fees"
17,Kalasalingam Academy of Research and Education,"Kalasalingam Academy of Research and Education is a deemed university located in Krishnankovil. The institute is famous for its BTech course and is consistently ranked among top engineering institutes of India by various ranking bodies. Additionally, the institute also offers undergraduate, postgraduate and doctorate programs in various disciplines. Admissions to these courses are provided either on the basis of respective entrance exams or directly on the basis of candidate’s merit in last qualifying examinations."
18,R V College of Engineering - [RVCE],"RV College of Engineering was established in 1963 in Bangalore, Karnataka. The institute was ranked 99th by NIRF Ranking 2024 in the engineering category. RVCE is known for its engineering programs comprising both UG and PG courses. The top courses of the institute include B.Tech CSE, B.Tech ECE and B.Tech ME courses. The fees for the B.Tech courses is INR 1.16 Lakhs per annum. The fee concession is offered to only those students who got admitted through qualifying for the entrance examination."
19,Ramaiah Institute of Technology - [RIT],"Ramaiah Institute of Technology is a private institute established in 1962 in Bangalore, Karnataka. Ramaiah Institute of Technology is accredited by NAAC “A+” Grade. This institute is known for its quality Engineering and Technology education and is affiliated with VTU. Ramaiah Institute of Technology is ranked 78th under the Engineering category, 23rd under the Architecture category and 101st in the Overall category by NIRF 2023."
20,International Institute of Information Technology - [IIIT-B],"IIIT Bangalore is a UGC-accredited Deemed-to-be University that was founded in 1998. The Karnataka state government and the IT sector jointly sponsor the university. According to the NIRF 2022 rankings for ""Best Private Engineering Schools,"" IIIT Bangalore is ranked 81. The institute provides courses in engineering and technology at the iMTech, MTech, MSc, MS/PhD, and Data Science levels. IIIT Bangalore BTech Admissions 2024 registrations are going on. Entrance to these programs is based on performance on national exams like JEE Main, GATE, CAT, CEED, CUCET, TISS-NET, UGC-NET, etc."
21,BMS College of Engineering - [BMSCE],"BMS College of Engineering (BMSCE), is a private engineering college in Basavanagudi, Bangalore. The college was founded by Bhusanayana Mukundadas Sreenivasaiah in 1946 and the BMS Educational Trust is in charge of its administration. BMSCE is accredited by NAAC “A++” Grade and approved by AICTE and UGC. BMSCE is affiliated with Visvesvaraya Technological University."
22,Karunya Institute of Technology and Sciences - [Karunya Deemed University],"Karunya Institute of Technology and Sciences, a Deemed University and a Christian Minority Residential Institution are ranked among the Top 100 Institutions in NIRF Ranking in the last 3 years. All Engineering and Management Programs are approved by AICTE & UGC.  The institution is NAAC Accredited with ‘A++’ Grade. The origin of the Karunya Institute of Technology and Sciences dates back to the year 1986 when it began as an Engineering College affiliated with Bharathiar University."
23,Kumaraguru College of Technology - [KCT],"Kumaraguru College of Technology, established in 1984, is located on the outskirts of Coimbatore. Spread over a 156-acre campus, the college started with the Ramanandha Adigalar Foundation as its sponsor. KCT is an autonomous institution affiliated with Anna University, Chennai, and is approved by AICTE. The courses offered by KCT have been accredited with an A++ grade by NAAC and by NBA."
24,Punjab Engineering College University of Technology - [PEC],"PEC, Chandigarh (Deemed to be University), formerly known as Mugalpura Engineering College in Lahore, was founded in 1921 and is affiliated with Punjab University. With a vast campus spanning 146 acres, the university is a Grant-in-Aid program administered by the Indian government's Union Territory of Chandigarh. The institute provides 8 UG, 14 PG, and a PhD program in a variety of engineering, scientific, management, humanities, and social science fields. Admission to UG and PG programs is determined by national-level tests known as  and , respectively with 2 centers of excellence and 9 academic departments."
25,Jaypee Institute of Information Technology University - [JIIT],"Jaypee Institute of Information Technology (JIIT), founded in 2001, is a leading private university located in Noida, Uttar Pradesh, India. In 2004, it attained the esteemed status of a Deemed-to-be university under Section 3 of the UGC Act 1956. The institution is recognized by AICTE and holds accreditation from NAAC. In the 2022 NIRF rankings, Jaypee Institute of Information Technology (JIIT Noida) secured the 94th position in the Engineering category."
26,Indian Institute of Information Technology - [IIIT],"IIIT Allahabad is a public technical university mainly known for its IT courses, established in 1999. The institute was conferred the “Deemed University” status by the Govt. of India and declared as an “Institute of National Importance” by the Act of the Parliament, Govt. of India in 2014. IIIT Allahabad is situated at Deoghat, Jhalwa, spread over a beautiful 100-acre campus. In 2023, the institute was ranked 89th by the NIRF in the Engineering category."
27,Dayalbagh Educational Institute Faculty of Engineering,"Dayalbagh Educational Institute Faculty of Engineering, Dayalbagh, Agra established as the  first private Engineering College in India post-Independencein 1950, affiliated to Agra University, Agra. In Engineering College became DEI Engineering College, one of three constituent colleges of the Dayalbagh Educational Institute (DEI) founded by Most Revered Dr. M. B. Lal Sahab as its Founder Director"
28,Mepco Schlenk Engineering College,Mepco Schlenk Engineering College is one of the most reputed private engineering colleges in the South India. It was established in the year 1984 under the self financing scheme. The college was earlier affiliate to Madurai Kamaraj University and now from 2001 it is affiliated to Anna University. The college has won many awards for the outstanding performance in export promotion and R & D.
29,Sri Venkateswara University College of Engineering,"Sri Venkateswara University College of Engineering (SVUCE), Tirupati was established in 1959. It is ranked 63 among 850 deemed institutes of the country. SVUCE is approved by AICTE and accredited with an ‘A’ grade by NAAC. At present, the college offers B.Tech and M.Tech courses across different disciplines. Admission to these courses is offered on the basis of marks obtained in respective entrance exams."
30,Dhirubhai Ambani Institute of Information and Communication Technology - [DA-IICT],
31,Bharati Vidyapeeth Deemed University Pune,"Bharati Vidyapeeth is a private deemed university located in Pune, Maharashtra. Established in 1964, Bharati Vidyapeeth University is ranked 91 among Top Universities by NIRF 2023 and in the rank band of 701-750 among ‘Asian Universities’ by QS World University Rankings 2023. Bharati Vidyapeeth Deemed University is accredited with an ‘A’ grade by the Ministry of HRD Government of India, accredited by the National Assessment and Accreditation Council (NAAC) with an ‘A+’ grade, is approved by the University Grants Commission (UGC), NBA, NABL, NABH & FDA, and is also a member of the ‘The Association of Commonwealth Universities’. It boasts of 37 institutions, 160+ programs, more than 1600 teachers, and 23,000+ students. Bharati Vidyapeeth Deemed University Pune has two campuses in Pune, one in Dhankawadi and the other in Erandwane."
32,Hindustan Institute of Technology and Science - [HITS],
33,C. V. Raman Global University,"C. V. Raman Global University, Bhubaneswar is a private university that ranked within the top 100 Engineering Institutions in India by NIRF for consecutive 7 years from 2016 to 2023. The university is also recognized as a Scientific and Industrial Research Organization S.I.R.Os by D.S.I.R., Government of India."
34,Sri Krishna College of Engineering and Technology - [SKCET],Sri Krishna College of Engineering and Technology (SKCET) offers undergraduate and postgraduate programs in the field of technology and computer applications. The Institute has secured 2nd rank in Swachhta National Ranking 2018 and is the nodal centre for conducting Smart India Hackathon. SKCET is one among the Top 150 Engineering Institutions in NIRF Ranking 2019.
35,Kongu Engineering College - [KEC],"Kongu Engineering College (KEC) was founded by Kongu Vellalar Institute of Technology Trust (KVITT) in the year 1984. The college is affiliated to Anna University Chennai. KEC is one of the multi-professional researched institutions. The Institute provides an integral, inter-disciplinary education - a unique intersection between theory and practice, passion and reason. The college offers several undergraduate and postgraduate courses under technical, science, and management disciplines like B.Tech, B.Sc., M.Tech, MBA, and many more. Admissions to the courses are done on the basis of several entrance exams. The college is approved by All India Council for Technical Education (AICTE) and accredited by National Assessment and Accreditation Council (NAAC) with ‘A++’ Grade."
36,"Vignan's Foundation for Science, Technology, and Research","Vignan University Vadlamudi Guntur is a Deemed to be university established in the year 2009. The institute was brought to life under the visionary guidance of the Vignan Educational Trust. Vignan University has been accredited with a Grade ‘A+’ by NAAC and holds the approval from UGC, AICTE & NBA. Further, the university is affiliated with JNTU Hyderabad, Kakinada and Anantapur and holds ISO 9001:2000 certification."
37,B.S. Abdur Rahman Crescent Institute of Science & Technology - [BSAU],"B.S. Abdur Rahman Crescent Institute of Science and Technology is ranked on 3rd position among the Engineering Institutions in Tamil Nadu and ranked 15 among Private Engineering Institutions in India. It is one of the best institutes known for its quality education. The institute offers UG, PG and PhD courses and is NAAC A Grade accredited. For admission to the various courses offered by the institute applications can be filled online. Admission to all the courses is based on national-level entrance tests. For BTech admissions, B.S. Abdur Rahman Crescent Institute of Science and Technology conducts the Crescent Institute Engineering Admission Test (CIEAT-2024). Further, candidates having a valid JEE Main score will be directly selected for admission to the Btech program."
38,Bannari Amman Institute of Technology - [BIT],"Bannari Amman Institute of Technology (BIT), established in the year 1996, is an autonomous self-financing engineering institute situated in Sathyamangalam, Tamil Nadu. NAAC accredits the institute with an impressive ‘A’ grade and is affiliated with Anna University, Chennai. As per the India Today ranking 2023, BIT Sathy stood at the 93rd position in the overall category out of 281 colleges in India."
39,Institute of Engineering and Management - [IEM],"NO, the Institute of Engineering & Management (IEM) Kolkata does not offer an MBA in Digital Marketing. It offers MBA courses in four different streams namely"
40,Sona College of Technology,"Sona College of Technology is an autonomous private college in Salem, Tamil Nadu. It is ISO certified, National Board of Accreditation accredited, and Accredited ""A"" Grade by NAAC. It was founded in 1997 and is approved by the AICTE. Sona College of Technology, Salem's B.Tech ranking by NIRF is 151 out of 200 colleges in India in 2023. Sona College of Technology offers 14 undergraduate and 14 graduate degree programs."
41,Jain University - [JU],"Jain University is a Deemed-to-be University established in 1990 in Bangalore, Karnataka. Jain University offers various UG, PG, Research, and Vocational courses through its 12 Schools and 25 Departments. The university was previously known as Sri Bhagawan Mahaveer Jain College (SBMJC). Jain University Bangalore is one of the top universities in India, ranked at 68th position in the University category and 85th in the Management category by NIRF Ranking 2023. NAAC has rated the university as an A++ institute with a on a four-point scale. Jain University has namely Commerce, Engineering and Technology, Management, Creative Arts & Design, Humanities & Social Sciences, and Sciences."
42,Chaitanya Bharathi Institute of Technology - [CBIT],A close friend of mine is currently pursuing an integrated program at JNTU and is not at all pleased with its standard of education. He stated a few points that clarified his stance further
43,New Horizon College of Engineering - [NHCE],"New Horizon College of Engineering also known as NHCE is a private engineering college situated near Marathahalli, in Bangalore, Karnataka, India. New Horizon College of Engineering was established in 2001. The NHCE is affiliated with Visvesvaraya Technological University (VTU), approved by University Grants Commission (UGC) and the All India Council for Technical Education (AICTE). The institute is also approved by Govt. of Karnataka, NBA and NAAC A grade. As per the NIRF 2023, the institute is ranked 4th in Bangalore, 6 in Karnataka and rank band 151-200 in Engineering Category."
44,Veermata Jijabai Technological Institute - [VJTI],"VJTI Mumbai, founded in 1887, is one of the oldest engineering colleges in Mumbai. Veermata Jijabai Technological Institute situated in South Mumbai is an autonomous institution run by the State Government of Maharashtra. NIRF ranked VJTI on 101-151 ranking in 2023 that depicts the high quality of education and research of the institution."
45,"JNTUK University College of Engineering, Kakinada","The Jawaharlal Nehru Technological University College of Engineering was started to be a value-driven global-level University and model of excellence leading our peers in technical education. This institute also envisions and endeavors to produce integrity-driven individuals who benefit the society, in the long run. Our perspective is to focus on Education, Research, Recognition, Transformation, and Innovation. We aim to provide global standard education through innovative research and significant discovery. We aim to facilitate the transformation of Andhra Pradesh through increased entrepreneurship and regional wealth development. We wish to create a person who is educated and efficient to lead a successful and contributing life."
46,"Graphic Era University, School of Engineering and Technology - [GEU]",No data found
47,K. J. Somaiya College of Engineering - [KJSCE],K. J. Somaiya College of Engineering is a constituent college of the prestigious Somaiya Vidyavihar University (UGC approved) and was established in 1983. The institute has a very qualified faculty as well as a state-of-the-art infrastructure. The college has been awarded Autonomous status in the year 2014 with recommendations from the UGC and the Government of Maharashtra. The college campus is spread over 50 acres of lush green land.
48,"GH Raisoni College of Engineering - [GHRCE], Nagpur","GH Raisoni College of Engineering, Nagpur is a private college established in 1996 by Ankush Shikshan Sanstha and is affiliated to Rashtrasant Tukadoji Maharaj Nagpur University, Nagpur. This institute is also approved by AICTE,and accredited with A+ Grade by NAAC. The institute is ranked 163 in Engineering Category by NIRF 2022."
49,Mukesh Patel School of Technology Management and Engineering - [MPSTME],"Mukesh Patel School of Technology Management and Engineering (MPSTME) is a private Institute located in Mumbai, Maharashtra and was established in the year 2006. The Institute is affiliated to NMIMS Deemed to be University, Mumbai and approved by the University Grants Commission (UGC). MPSTME is also approved by the National Council of Teacher Education (NCTE) and All India Council of Technical Education (AICTE). The institute garnered the Educational Leadership Award by ET Business Leader of the Year 2020. MPSTME students have the chance to study a part of their program at NMIMS and then go and complete rest of the course at a partner university abroad."
50,Sardar Patel Institute of Technology - [SPIT],"Sardar Patel Institute of Technology (SPIT) is an autonomous research and engineering institute associated with the Mumbai University. The institute is ranked 167th under the engineering category by NIRF. SPIT offers undergraduate, postgraduate, and doctoral degrees in engineering and computer applications. BTech is one of the most opted program at SPIT. Admissions to the same are done through MHT-CET entrance examination followed by counselling. The institute also provides quota for JEE Main qualified candidates."
51,"Faculty of Engineering and Technology, Jain University - [FET JU]","Faculty of Engineering and Technology, Jain University (FET JU), Bangalore is one of the top engineering school in Bangalore, JU-FET has collaborated with different institutions and organizations like Toyota, TCS, IEEE, SIEMENS,TEXAS Instruments for exchange of domain knowledge and technical training. The University offers B.Tech and BCA at undergraduate level and M.Tech at postgraduate level. Admission to the B.Tech program is done on the basis of JET or Uni-GAUGE whereas admission to the M.Tech program is done on the basis of the GATE or JET exam conducted by the institute. Candidates with a valid test score of any State Level Entrance are exempted from JET. In addition to this, the institute provides scholarships to the GATE-qualified applicants."
52,Ramdeobaba University - [RBU],"Ramdeobaba University (RBU), formerly Shri College of Engineering and Management (RCOEM), is a college in Nagpur, Maharashtra, India. It was founded in 1984 by Shri Ramdeobaba Sarvajaank Samiti. The university is approved by University Grant Commission, New Delhi and Government of Maharashtra. Further, RBU is accredited by NAAC A+ grade and received Diamond Rating by QS I-Gauge. RBU has 9 schools such as the School of Engineering Sciences, School of Innovation and Incubation, School of Computer Science and Engineering, School of Management, School of Electrical and Electronics Engineering, School of Humanities and Sciences, School of Languages, School of Indian Knowledge System (IKS),  and School of Entrepreneurship. The University offers diploma, undergraduate, postgraduate, Ph.D., certificate, and value-added courses in several specializations."
53,Vallurupalli Nageswara Rao Vignana Jyothi Institute of Engineering and Technology - [VNR VJIET],"Vallurupalli Nageswara Rao Vignana Jyothi Institute of Engineering and Technology established in 1995, is a reputed engineering college in Hyderabad, recognized by (AICTE) and affiliated to the Jawaharlal Nehru Technological University, Hyderabad. The Institution offers courses in UG and PG Level (B. Tech and M.Tech) and is accredited by NAAC with 'A++' Grade and NBA. It is constantly ranked amongst the Top Engineering Colleges in India and was ranked 127 by NIRF in 2020. Admission to the courses is done through the merit scored in the entrance examinations."
54,National Institute of Food Technology Entrepreneurship and Management - [NIFTEM],"NIFTEM (National Institute of Food Technology Entrepreneurship and Management) is a deemed university in Sonepat, Haryana. It is managed by India's Ministry of Food Processing Industries (MOFPI). The Government of India has conferred the status of ""Institute of National Importance"" on NIFTEM in the year 2021. According to the NIRF 2022 rankings, NIFTEM has been ranked 127 in the engineering category. The institute conducts education and research in the food technology and management field."
55,Sri Jayachamarajendra College of Engineering - [SJCE],Sri Jayachamarajendra College of Engineering is a private Institute established in 1963 and affiliated with VTU Belgaum. SJCE is the first college in Karnataka to introduce Electronics and Communication branch of Engineering in the year 1968. The College has been approved by AICTE and NBA and has been ranked at #151 by NIRF 2023. The campus is spread over 117 acres of area and it consists of several recognizable buildings.
56,Jaypee University of Information Technology - [JUIT],"Jaypee University of Information Technology (JUIT) offers various undergraduate, postgraduate courses and doctorate level studies and research in the disciplines of Engineering, Applied Sciences and Humanities & Social Sciences. The flagship courses are B.Tech and M.Tech offered in various specialisations. It is ranked amongst top Engineering Institutes by NIRF, MHRD, GoI since last 7 years and has excellent Placement record with top multinationals. The highest salary offered was at INR 32 LPA by Amazon followed by 31.5 LPA offered by Amazon, the average salary was offered at INR 7 LPA. Some of the major recruiters are Amazon, InfraMarket, Lowe’s India, Byjus and many more."
57,"University Institute of Engineering, Chandigarh University - [UIE]",No data found
58,"School of Engineering and Technology, NCU - [SOET]","The School of Engineering and Technology (SOET) is known to be one of NorthCap University’s largest component with its five academic departments. In keeping with the changing demands in education, NCU offers a redesigned curriculum that prepares you for the future workplace. The learning methodology integrates multi-disciplinary and contemporary global pedagogy across Law, Management, Sciences & Engineering, and Technology along with skills and competencies such as critical thinking, problem-solving and working in cross-functional teams - essential constituents for modern-day success. At NCU, they ensure student’s professional development through engaging modules in personal development, communication, and leadership."
59,Lovely Professional University - [LPU],"Lovely Professional University (LPU) was established in 2005 in Jalandhar, Punjab. LPU is a private university accredited by NAAC ""A++"" Grade and approved by UGC, NCTE, PCI, COA, BCI, and other prominent organizations. LPU is ranked at 27th position in NIRF Ranking 2024 among all Private and Government Universities in India. LPU is also India's 5th oldest private university with a campus area of 600 acres."
60,St. Joseph College Of Engineering,No data found
61,Saveetha Engineering College - [SEC],"Saveetha Engineering College (SEC) was established in 2001 by Dr. N.M. Veeraiyan, Dentist by profession. The college has a total strength of 4349 students in 12 UG courses which include Agricultural, Artificial Intelligence & Data Sciences, Biomedical Engineering, Civil, Chemical, CSE, ECE, EEE, EIE, IT, Mechanical and Medical Electronics & also has 8 PG Courses including MBA. The college has got accreditation for 5 UG courses in 2018 for three years by NBA and ranked 124 by the National Institute Ranking Framework (NIRF) for the academic year 2017-18 among all IITs, Central, State and Private Institutions in India."
62,Sri Sairam Engineering College,"Sri Sairam Engineering College (SSEC) is a self-financing college, accredited by NAAC and affiliated with Anna University. It was established in the year 1995 and is a non-profitable, and non-minority institution. Located in Tamil Nadu, Sri Sairam Engineering College is a premier engineering institution. SSEC has been listed among the Top 10 Engineering Colleges with 38 gold medals. The institute provides full-time degree programs, with 15 undergraduate and 9 graduate courses available."
63,NMAM Institute of Technology - [NMAMIT],"Nitte Mahalinga Adyanthaya Memorial Institute of Technology (NMAMIT), Nitte Karkala, established in 1986 is approved by the All-India Council for Technical Education (AICTE), New Delhi is a constituent college of Nitte (Deemed to be University), Mangaluru. All the eligible undergraduate programs are accredited by the National Board of Accreditation (NBA), New Delhi under the TIER-I category. Nitte University is accredited with ‘A+’ grade by NAAC and is ranked in the band of 101-150 in NIRF 2023. It is also in the rank-band of 451-500 of QS Asia University Rankings 2023 and 201-300 band in the Times Higher Education (THE) Impact Ranking 2022."
64,"CVR College of Engineering, Ibrahimpatnam","CVR College of Engineering was founded in 2001. It is situated in the state of Telangana. Degree courses are available at the institute, with 11 UG and 8 PG options. These programs are available in full-time mode. CVR College of Engineering is well-known for its M.E./M.Tech and B.E./B.Tech programs. These programs are taught by highly qualified professors. Candidates can pursue a variety of courses, including M.E./M.Tech and B.E./B.Tech in the Engineering stream. CVR College of Engineering offers you the opportunity to gain expertise in the fields of Computer Science Engineering, Electronics & Communication Engineering, Information Technology, Artificial Intelligence & Machine Learning through its trained and experienced faculty."
65,Yeshwantrao Chavan College of Engineering - [YCCE],"Yeshwantrao Chavan College of Engineering (YCCE), Nagpur was established in the year 1984. It has the approval of AICTE & is affiliated to Rashtrasant Tukadoji Maharaj Nagpur University. It has been accredited “A++"" Grade by NAAC and it has been ranked 141 in the Engineering Category and 110 in the Engineering (Private) Category by India Today in 2023. Presently, it is running B.Tech in 13 disciplines and M.Tech in 7 disciplines."
66,"Institute of Technology, Nirma University","Institute of Technology, Nirma University (ITNU), Ahmedabad is a flagship institute of Nirma University established in the year 1995 and approved and accredited by NBA and NAAC ‘A+’ grade. The institute offers various undergraduate, postgraduate and doctoral programs in the discipline of Engineering & Technology and Computer Applications. Admission in the ITNU is done on the basis of JEE, GATE, UGC NET entrance exam."
67,Sant Longowal Institute of Engineering and Technology - [SLIET],"Sant Longowal Institute of Engineering and Technology (SLIET) is located in Sangrur district, Punjab. The institute offers B.E courses at the UG level, MBA, M.Tech and M.Sc at the PG level, and Ph.D courses. It also offers diploma and certificate courses. Admissions to all courses are entrance based. SLIET also conducts its own exam, ie. SET for admissions to certain courses. Applications are accepted online."
68,Sri Ramakrishna Engineering College - [SREC],"Sri Ramakrishna Engineering College (SREC) is one of the reputed educational colleges of Coimbatore which is managed by the SNR Sons Charitable Trust. It is an autonomous institute established in the year 1994. The college has been accredited by NAAC with an ‘A’ grade. It offers 10 Undergraduate and 8 Postgraduate programs in the field of Engineering, Technology, and Management. Admission to these courses is done on the basis of norms set by the state government. It also accepts a  valid score of Tamil Nadu Common Entrance Exam (TANCET)."
