Serial No.,College Name,Course,Fees,Eligibility,Application Date
242,Guru Kashi University,"Ph.D
31 Courses","38,400 - 92,100 (1st Year Fees)",Post Graduation,31 Aug 2024
242,Guru Kashi University,"B.Tech
7 Courses","92,680 (1st Year Fees)",10+2,31 Aug 2024
242,Guru Kashi University,"MBA
7 Courses","62,580 (1st Year Fees)",Graduation,31 Aug 2024
242,Guru Kashi University,"BCA
2 Courses","24,580 (1st Year Fees)",10+2,31 Aug 2024
242,Guru Kashi University,"D.Pharm
1 Course","32,874 (1st Year Fees)",-,31 Aug 2024
243,Noida International University - [NIU],"B.Tech
10 Courses",1.3 Lakhs (1st Year Fees),10+2 with 50% marks,31 May 2024
243,Noida International University - [NIU],"B.Sc
7 Courses","80,000 - 90,000 (1st Year Fees)",10+2,31 May 2024
243,Noida International University - [NIU],"MBA
8 Courses",1.6 Lakhs - 2 Lakhs (1st Year Fees),Graduation,31 May 2024
243,Noida International University - [NIU],"Diploma
12 Courses","40,000 (1st Year Fees)",10+2,31 May 2024
243,Noida International University - [NIU],"Ph.D
11 Courses",1 Lakh (1st Year Fees),Post Graduation,-
244,Central Institute of Technology - [CIT],"B.Tech
7 Courses","52,000 (1st Year Fees)",10+2 with 75% + JEE Main,10 June - 18 Jun 2024
244,Central Institute of Technology - [CIT],"Diploma
4 Courses","31,000 (1st Year Fees)",-,-
244,Central Institute of Technology - [CIT],"Polytechnic
2 Courses","31,000 (1st Year Fees)",-,-
244,Central Institute of Technology - [CIT],"M.Tech
4 Courses","47,500 (1st Year Fees)",Graduation,24 May - 07 Jun 2024
244,Central Institute of Technology - [CIT],"M.Des
1 Course","47,500 (1st Year Fees)",B.Des,-
245,Vidyalankar Institute of Technology - [VIT],"BE
5 Courses",1.34 Lakhs (1st Year Fees),10+2 + MHT-CET,31 May - 28 Jul 2024
245,Vidyalankar Institute of Technology - [VIT],"BE {Lateral}
4 Courses",1.34 Lakhs (1st Year Fees),Diploma,-
245,Vidyalankar Institute of Technology - [VIT],"ME
3 Courses","22,000 - 53,395 (1st Year Fees)",Graduation + GATE,31 May - 29 Jul 2024
245,Vidyalankar Institute of Technology - [VIT],M.M.S,1.32 Lakhs (1st Year Fees),Graduation,12 July - 27 Jul 2024
246,Madhav University - [MU],"B.Tech
6 Courses","35,000 (1st Year Fees)",10+2 with 45%,31 Aug 2024
246,Madhav University - [MU],"B.Sc
18 Courses","10,000 - 80,000 (1st Year Fees)",10+2,31 Aug 2024
246,Madhav University - [MU],"Diploma
9 Courses","10,000 - 70,000 (Total Fees)",10+2,31 Aug 2024
246,Madhav University - [MU],"BCA
1 Course","20,000 (1st Year Fees)",10+2 with 45%,31 Aug 2024
246,Madhav University - [MU],"Ph.D
34 Courses",1 Lakh - 1.4 Lakhs (1st Year Fees),Post Graduation with 55%,31 Aug - 15 Nov 2024
247,Graphic Era Hill University - [GEHU],"B.Tech
9 Courses",1.85 Lakhs - 2.76 Lakhs (1st Year Fees),10+2 with 75% + JEE Main,30 June 2024
247,Graphic Era Hill University - [GEHU],"BBA
6 Courses",1.43 Lakhs - 1.88 Lakhs (1st Year Fees),10+2,30 June 2024
247,Graphic Era Hill University - [GEHU],"MBA
13 Courses",2.37 Lakhs - 3.07 Lakhs (1st Year Fees),Graduation with 50% + CAT,26 Dec - 30 Jun 2024
247,Graphic Era Hill University - [GEHU],"B.Com {Hons.}
5 Courses",1.43 Lakhs - 1.88 Lakhs (1st Year Fees),10+2,30 June 2024
247,Graphic Era Hill University - [GEHU],"BCA
1 Course",1.27 Lakhs (1st Year Fees),10+2,30 June 2024
248,University of Engineering and Management - [UEM],"B.Tech
14 Courses",1.71 Lakhs (1st Year Fees),10+2(PCM) with 70%,no data found
248,University of Engineering and Management - [UEM],"MBA
8 Courses",2.3 Lakhs (1st Year Fees),Graduation with 60%,no data found
248,University of Engineering and Management - [UEM],"BBA
1 Course",1.25 Lakhs (1st Year Fees),10+2 with 60% + IEMJEE,no data found
248,University of Engineering and Management - [UEM],"BBALLB {Hons.}
1 Course",1 Lakh (1st Year Fees),10+2 with 50% + IEMJEE,no data found
248,University of Engineering and Management - [UEM],"BCA
1 Course",1.25 Lakhs (1st Year Fees),10+2 with 60% + IEMJEE,no data found
249,Mangalayatan University,"B.Sc {Hons.}
4 Courses","50,000 - 72,000 (1st Year Fees)",10+2,1 Aug - 15 Aug 2024
249,Mangalayatan University,"Diploma
3 Courses","30,000 - 50,000 (Total Fees)",10+2,-
249,Mangalayatan University,"MBA
9 Courses","90,000 (1st Year Fees)",Graduation,26 Dec - 10 Feb 2024
249,Mangalayatan University,"M.Sc
12 Courses","50,000 - 72,000 (1st Year Fees)",B.Sc (H) Agriculture with 50%,15 Aug 2024
249,Mangalayatan University,"B.Tech
1 Course",1 Lakh (1st Year Fees),10+2,15 Aug 2024
250,Assam down town University - [ADTU],"B.Sc
7 Courses","90,000 - 1.3 Lakhs (1st Year Fees)",10+2,30 July 2024
250,Assam down town University - [ADTU],"B.Tech
4 Courses",1.3 Lakhs - 1.44 Lakhs (1st Year Fees),10+2 with 45%,30 July 2024
250,Assam down town University - [ADTU],"MBA
12 Courses",2.05 Lakhs (1st Year Fees),Graduation with 50%,30 Sept 2024
250,Assam down town University - [ADTU],"Diploma
4 Courses",1.2 Lakhs (1st Year Fees),10+2,30 July 2024
250,Assam down town University - [ADTU],"BBA
3 Courses",1.2 Lakhs - 1.4 Lakhs (1st Year Fees),10+2,30 July 2024
251,Amity University,"B.Sc
3 Courses","66,000 - 80,000 (1st Year Fees)",10+2,1 Aug - 15 Aug 2024
251,Amity University,"B.Tech
10 Courses",1.3 Lakhs - 2.08 Lakhs (1st Year Fees),10+2 with PCM,15 Aug 2024
251,Amity University,"BCA
1 Course",1.14 Lakhs (1st Year Fees),10+2,15 Aug 2024
251,Amity University,"BBA
1 Course",1.32 Lakhs (1st Year Fees),10+2,15 Aug 2024
251,Amity University,"MBA
2 Courses",3.06 Lakhs (1st Year Fees),Graduation with 50%,15 Aug 2024
252,GSFC University,"B.Tech
10 Courses",1.23 Lakhs (1st Year Fees),10+2 with 45% + JEE,1 Apr - 03 Jul 2024
252,GSFC University,"B.Sc {Hons.}
3 Courses","84,000 (1st Year Fees)",10+2 with 45%,-
252,GSFC University,"M.Sc
6 Courses","76,000 - 1.02 Lakhs (1st Year Fees)",Graduation with 50%,-
252,GSFC University,"BCA
1 Course","88,000 (1st Year Fees)",10+2 with 45%,-
252,GSFC University,"B.Sc
5 Courses","66,000 - 90,000 (1st Year Fees)",10+2,-
253,Federal Institute of Science and Technology - [FISAT],"B.Tech
7 Courses",5.02 Lakhs (Total Fees),10+2,17 Mar - 31 Jul 2024
253,Federal Institute of Science and Technology - [FISAT],"MBA
5 Courses",2.2 Lakhs (1st Year Fees),Graduation,-
253,Federal Institute of Science and Technology - [FISAT],"M.Tech
6 Courses",1.4 Lakhs (Total Fees),Graduation,-
253,Federal Institute of Science and Technology - [FISAT],MCA,"71,100 (1st Year Fees)",Graduation,-
254,Galgotias College of Engineering and Technology - [GCET],"B.Tech
16 Courses",1.16 Lakhs (1st Year Fees),10+2 + UPTAC,11 June - 10 Jul 2024
254,Galgotias College of Engineering and Technology - [GCET],"MBA
2 Courses",1.16 Lakhs (1st Year Fees),Graduation,19 June - 10 Jul 2024
254,Galgotias College of Engineering and Technology - [GCET],"B.Tech {Lateral}
14 Courses",1.16 Lakhs (1st Year Fees),Diploma+UPTAC,-
254,Galgotias College of Engineering and Technology - [GCET],"M.Tech
1 Course",1.16 Lakhs (1st Year Fees),Graduation,30 June 2024
254,Galgotias College of Engineering and Technology - [GCET],MCA,1.16 Lakhs (1st Year Fees),Graduation,19 June - 10 Jul 2024
255,Global Academy of Technology - [GAT],"BE
11 Courses",2.06 Lakhs - 2.81 Lakhs (1st Year Fees),10+2,24 May - 17 Jun 2024
255,Global Academy of Technology - [GAT],"MBA
3 Courses",1.28 Lakhs (Total Fees),Graduation,27 May - 17 Jun 2024
255,Global Academy of Technology - [GAT],"BE {Lateral}
8 Courses",2.06 Lakhs - 2.81 Lakhs (1st Year Fees),Diploma,-
255,Global Academy of Technology - [GAT],"M.Tech
4 Courses",1.51 Lakhs (Total Fees),Pass in Graduation + GATE,27 May - 17 Jun 2024
256,HKBK Group of Institutions,"B.Tech
5 Courses",4.17 Lakhs (Total Fees),10+2,31 May 2024
256,HKBK Group of Institutions,"B.Sc
4 Courses",1.2 Lakhs - 1.5 Lakhs (1st Year Fees),10+2,31 May 2024
256,HKBK Group of Institutions,"BCA
2 Courses",1.95 Lakhs (1st Year Fees),10+2,31 May 2024
256,HKBK Group of Institutions,"BBA
3 Courses",1.95 Lakhs (1st Year Fees),10+2,31 May 2024
256,HKBK Group of Institutions,"B.Com
3 Courses",1.95 Lakhs - 19.55 Lakhs (1st Year Fees),10+2,31 May 2024
257,Sri Vasavi Engineering College - [SVEC],"B.Tech
10 Courses","69,300 (1st Year Fees)",10+2,11 Mar - 25 Jul 2024
257,Sri Vasavi Engineering College - [SVEC],"Polytechnic
5 Courses","75,000 (Total Fees)",10th,20 Feb - 10 Apr 2024
257,Sri Vasavi Engineering College - [SVEC],"MBA
1 Course","51,800 (1st Year Fees)",Graduation with 50% + APICET,-
257,Sri Vasavi Engineering College - [SVEC],"M.Tech
5 Courses","60,500 (1st Year Fees)",Pass in Graduation + GATE,23 Mar - 12 May 2024
258,Uka Tarsadia University,"B.Tech
16 Courses","77,500 - 94,000 (1st Year Fees)",10+2,1 Apr - 03 Jul 2024
258,Uka Tarsadia University,"M.Sc
16 Courses","96,000 - 1.43 Lakhs (1st Year Fees)",Graduation,30 Apr 2024
258,Uka Tarsadia University,"MBA
9 Courses","81,000 (1st Year Fees)",Graduation,30 Apr - 11 Jul 2024
258,Uka Tarsadia University,"Ph.D
16 Courses","63,000 - 73,000 (1st Year Fees)",Post Graduation,-
258,Uka Tarsadia University,"BBA
5 Courses","67,000 (1st Year Fees)",10+2,30 Apr 2024
259,AKS University - [AKSU],"B.Tech
10 Courses","52,000 - 80,000 (1st Year Fees)",10+2 with 45%,-
259,AKS University - [AKSU],"B.Sc {Hons.}
10 Courses","20,000 - 66,000 (1st Year Fees)",10+2 with 50%,1 Aug - 31 Mar 2024
259,AKS University - [AKSU],"Polytechnic
9 Courses","40,000 - 69,000 (1st Year Fees)",10th with 45%,-
259,AKS University - [AKSU],"MBA
10 Courses","60,000 - 1 Lakh (1st Year Fees)",Graduation with 50%,26 Dec - 31 Aug 2024
259,AKS University - [AKSU],"M.Sc
16 Courses","18,000 - 60,000 (1st Year Fees)",Graduation with 60%,1 Aug - 31 Aug 2024
260,ITM University,"B.Tech
13 Courses",1 Lakh - 3.15 Lakhs (1st Year Fees),10+2 with 50%,15 Mar 2024
260,ITM University,"BCA
1 Course",1.35 Lakhs (1st Year Fees),10+2 with 45%,15 Mar 2024
260,ITM University,"B.Sc (Nursing)
1 Course",2.4 Lakhs (1st Year Fees),10+2 with 45%,15 Mar 2024
260,ITM University,"B.Sc
8 Courses","60,000 - 1.37 Lakhs (1st Year Fees)",10+2,1 Aug - 31 Aug 2024
260,ITM University,"BBA
1 Course",1.75 Lakhs (1st Year Fees),10+2 with 50%,15 Mar 2024
261,Jagannath University,"B.Tech
12 Courses",1 Lakh - 1.3 Lakhs (1st Year Fees),10+2 with 45%,31 Aug 2024
261,Jagannath University,"B.Sc {Hons.}
3 Courses","60,000 - 1.25 Lakhs (1st Year Fees)",10+2,31 Aug 2024
261,Jagannath University,"MBA
11 Courses",1.15 Lakhs - 1.65 Lakhs (1st Year Fees),Graduation with 50%,26 Dec - 31 Aug 2024
261,Jagannath University,"BBA
8 Courses","60,000 - 90,000 (1st Year Fees)",10+2 with 50%,31 Aug 2024
261,Jagannath University,"B.Sc (Nursing)
1 Course",1.5 Lakhs (1st Year Fees),10+2,31 Aug 2024
262,Babu Banarasi Das University - [BBDU],"B.Tech
10 Courses",1.25 Lakhs - 1.56 Lakhs (1st Year Fees),10+2 with 75% + JEE Main,20 Mar - 30 May 2024
262,Babu Banarasi Das University - [BBDU],"BCA
2 Courses","80,700 - 1.06 Lakhs (1st Year Fees)",10+2,20 Mar - 30 May 2024
262,Babu Banarasi Das University - [BBDU],"BBA
4 Courses","80,700 - 1.06 Lakhs (1st Year Fees)",10+2,20 Mar - 30 May 2024
262,Babu Banarasi Das University - [BBDU],"B.Com {Hons.}
1 Course","80,700 (1st Year Fees)",10+2,20 Mar - 30 May 2024
262,Babu Banarasi Das University - [BBDU],"MBA
1 Course",1.26 Lakhs (1st Year Fees),Graduation with 50% + CAT,20 Mar - 30 May 2024
263,JIS College of Engineering - [JISCE],"B.Tech
10 Courses",4.08 Lakhs (Total Fees),10+2 with 45%,28 Dec - 27 Jan 2024
263,JIS College of Engineering - [JISCE],"B.Tech {Lateral}
8 Courses",3.01 Lakhs (Total Fees),Diploma with 45%,-
263,JIS College of Engineering - [JISCE],"Polytechnic
2 Courses",1.35 Lakhs (Total Fees),10th with 35%,-
263,JIS College of Engineering - [JISCE],"BCA
1 Course",2.4 Lakhs (Total Fees),10+2,-
263,JIS College of Engineering - [JISCE],"BBA
1 Course",2.4 Lakhs (Total Fees),10+2,-
264,Rayat Bahra University,"B.Tech
21 Courses",1 Lakh - 1.8 Lakhs (1st Year Fees),10+2 with 45%,31 May 2024
264,Rayat Bahra University,"B.Sc
25 Courses","50,000 - 1.2 Lakhs (1st Year Fees)",10+2 with 50%,31 May 2024
264,Rayat Bahra University,"M.Sc
36 Courses","60,000 - 1.9 Lakhs (1st Year Fees)",Graduation with 50%,31 May 2024
264,Rayat Bahra University,"Ph.D.
31 Courses","75,000 - 1.37 Lakhs (1st Year Fees)",Post Graduation,31 May 2024
264,Rayat Bahra University,"MBA
18 Courses","65,000 - 1.8 Lakhs (1st Year Fees)",Graduation with 50%,31 May 2024
265,Amity University,"B.Tech
10 Courses","92,000 - 1.38 Lakhs (1st Year Fees)",10+2,15 Aug 2024
265,Amity University,"BCA
1 Course","76,000 (1st Year Fees)",10+2,-
265,Amity University,"MBA
6 Courses",2.2 Lakhs - 2.64 Lakhs (1st Year Fees),Graduation with 50%,15 Aug 2024
265,Amity University,"BBA
2 Courses",1.18 Lakhs - 2.2 Lakhs (1st Year Fees),10+2 with 55%,15 Aug 2024
265,Amity University,"M.Sc
1 Course",1.02 Lakhs (1st Year Fees),Graduation,15 Aug 2024
266,IILM University,"MBA
12 Courses",4.95 Lakhs - 6.15 Lakhs (1st Year Fees),Graduation with 50%+CAT/MAT,15 Aug 2024
266,IILM University,"B.Tech
3 Courses",2.7 Lakhs - 3.2 Lakhs (1st Year Fees),10+2,15 Aug 2024
266,IILM University,"Ph.D.
6 Courses",1 Lakh (1st Year Fees),Post Graduation with 55%,15 Aug 2024
266,IILM University,"BBA
3 Courses",3 Lakhs - 3.9 Lakhs (1st Year Fees),10+2,15 Aug 2024
266,IILM University,"BA {Hons.}
4 Courses",3.4 Lakhs (1st Year Fees),10+2,15 Aug 2024
267,Cambridge Institute of Technology - [CiTech],"BE
10 Courses",1.5 Lakhs - 10.66 Lakhs (Total Fees),10+2 with 45%,24 May - 17 Jun 2024
267,Cambridge Institute of Technology - [CiTech],"MBA
3 Courses",1.28 Lakhs (Total Fees),Graduation with 50%,27 May - 17 Jun 2024
267,Cambridge Institute of Technology - [CiTech],"M.Tech
2 Courses",1.51 Lakhs (Total Fees),Graduation,27 May - 17 Jun 2024
267,Cambridge Institute of Technology - [CiTech],MCA,1.28 Lakhs (Total Fees),Graduation,27 May - 17 Jun 2024
268,RC Patel Institute of Technology - [RCPIT],"B.Tech
9 Courses",1.4 Lakhs (1st Year Fees),10+2 + MHT-CET,16 Jan - 28 Jul 2024
268,RC Patel Institute of Technology - [RCPIT],"B.Tech {Lateral}
9 Courses",1.4 Lakhs (1st Year Fees),10+3,16 Jan - 28 Jul 2024
268,RC Patel Institute of Technology - [RCPIT],MCA,"90,000 (1st Year Fees)",Graduation + MHT-MCA-CET,6 July - 14 Jul 2024
269,St. Francis Institute of Technology - [SFIT],"BE
7 Courses",1.39 Lakhs (1st Year Fees),10+2 with 45% + MHT-CET,16 Jan - 28 Jul 2024
269,St. Francis Institute of Technology - [SFIT],"ME
2 Courses",1 Lakh (1st Year Fees),Graduation + GATE,9 July - 29 Jul 2024
270,ICFAI University,"MBA
7 Courses",1.3 Lakhs - 1.6 Lakhs (1st Year Fees),Graduation with 45% + CAT,2 Apr 2024
270,ICFAI University,"B.Tech
5 Courses",1.3 Lakhs (1st Year Fees),10+2 with 55% + IUTAT,31 July 2024
270,ICFAI University,"Ph.D
13 Courses",1.11 Lakhs (1st Year Fees),Post Graduation,-
270,ICFAI University,"M.Phil
1 Course",1.74 Lakhs (1st Year Fees),Post Graduation,-
270,ICFAI University,"BA {Hons.}
2 Courses","44,000 - 70,000 (1st Year Fees)",10+2 with 50%,31 July 2024
271,Atharva College of Engineering,"BE
5 Courses","99,208 (1st Year Fees)",10+2 + MHT-CET,16 Jan - 28 Jul 2024
271,Atharva College of Engineering,"BE {Lateral}
5 Courses","89,208 (1st Year Fees)",10+3,-
272,Don Bosco Institute of Technology - [DBIT],"BE
4 Courses",1.48 Lakhs (1st Year Fees),10+2 + MHT-CET,16 Jan - 28 Jul 2024
272,Don Bosco Institute of Technology - [DBIT],"BE {Lateral}
4 Courses",1.48 Lakhs (1st Year Fees),10+3,-
273,GNIOT Group of Institutions - [GNIOT],"B.Tech
12 Courses",1.56 Lakhs (1st Year Fees),10+2 with 50% +JEE Mains,31 May - 30 Jul 2024
273,GNIOT Group of Institutions - [GNIOT],"B.Sc (Nursing)
1 Course",1.31 Lakhs (1st Year Fees),10+2 with 45%+CET/CNET,31 May 2024
273,GNIOT Group of Institutions - [GNIOT],"BCA
1 Course","95,400 (1st Year Fees)",10+2 with 45%,31 May - 12 Aug 2024
273,GNIOT Group of Institutions - [GNIOT],"BBA
1 Course","95,400 (1st Year Fees)",10+2 with 45%,31 May - 12 Aug 2024
273,GNIOT Group of Institutions - [GNIOT],"MBA
3 Courses",1.8 Lakhs (1st Year Fees),Graduation with 50%+CAT,30 Apr - 10 Jul 2024
274,Jeppiaar Engineering College,"B.Tech
3 Courses",2.2 Lakhs (Total Fees),10+2 with 50% + TNEA,6 May - 11 Jun 2024
274,Jeppiaar Engineering College,"BE
7 Courses",2.2 Lakhs (Total Fees),10+2 with 50% + TNEA,6 May - 11 Jun 2024
274,Jeppiaar Engineering College,"MBA
5 Courses","41,000 (Total Fees)",Graduation with 50% + TANCET,10 June - 04 Jul 2024
274,Jeppiaar Engineering College,"M.E
4 Courses","60,000 (Total Fees)",Pass in Graduation + GATE,15 Apr - 14 May 2024
274,Jeppiaar Engineering College,"M.Tech
1 Course","60,000 (Total Fees)",Pass in Graduation + GATE,15 Apr - 14 May 2024
275,Karpagam College of Engineering - [KCE],"B.Tech
5 Courses",2.2 Lakhs (Total Fees),10+2,6 May - 11 Jun 2024
275,Karpagam College of Engineering - [KCE],"BE
10 Courses",2.2 Lakhs (Total Fees),10+2,6 May - 11 Jun 2024
275,Karpagam College of Engineering - [KCE],"BE {Lateral}
8 Courses",1.65 Lakhs (Total Fees),Diploma,-
275,Karpagam College of Engineering - [KCE],"ME
3 Courses","60,000 (Total Fees)",Graduation,15 Apr - 14 May 2024
275,Karpagam College of Engineering - [KCE],"MBA
1 Course","41,000 (Total Fees)",Graduation,10 June - 04 Jul 2024
276,KIET Group of Institutions - [KIET],"B.Tech
11 Courses",1.39 Lakhs (1st Year Fees),10+2 + JEE Main,31 May - 15 Aug 2024
276,KIET Group of Institutions - [KIET],"MBA
6 Courses",1.36 Lakhs (1st Year Fees),Graduation + CUET PG,31 May - 10 Jul 2024
276,KIET Group of Institutions - [KIET],"B.Tech {Lateral}
10 Courses",1.39 Lakhs (1st Year Fees),Diploma,-
276,KIET Group of Institutions - [KIET],"D.Pharm
1 Course","95,000 (1st Year Fees)",10+2,31 May 2024
276,KIET Group of Institutions - [KIET],"Diploma
1 Course","90,000 (Total Fees)",Diploma,31 May 2024
277,PES College of Engineering - [PESCOE],"B.Tech
7 Courses","85,000 (1st Year Fees)",10+2 + MHT-CET,16 Jan - 28 Jul 2024
277,PES College of Engineering - [PESCOE],"B.Tech {Lateral}
6 Courses","85,000 (1st Year Fees)",10+3,-
277,PES College of Engineering - [PESCOE],"M.Tech
4 Courses","72,500 (1st Year Fees)",Graduation + GATE,9 July - 29 Jul 2024
278,Raghu Engineering College - [REC],"B.Tech
9 Courses","80,800 (1st Year Fees)",10+2 + AP EAMCET,11 Mar - 25 Jul 2024
278,Raghu Engineering College - [REC],"B.Tech {Lateral}
9 Courses",2.3 Lakhs (Total Fees),10+3,-
278,Raghu Engineering College - [REC],"M.Tech
5 Courses","43,000 (1st Year Fees)",Graduation + GATE,23 Mar - 12 May 2024
279,Symbiosis Institute of Technology - [SIT],"B.Tech
7 Courses",3.2 Lakhs - 3.5 Lakhs (1st Year Fees),10+2 + SIT EEE,13 Nov - 31 Jul 2024
279,Symbiosis Institute of Technology - [SIT],"M.Tech
9 Courses","60,000 - 3.01 Lakhs (1st Year Fees)",Graduation,18 Dec - 31 Mar 2024
279,Symbiosis Institute of Technology - [SIT],"B.Tech {Lateral}
7 Courses",3.2 Lakhs - 3.5 Lakhs (1st Year Fees),Diploma,-
279,Symbiosis Institute of Technology - [SIT],"Ph.D
3 Courses",1.1 Lakhs (1st Year Fees),Post Graduation,-
280,Terna Engineering College Navi Mumbai,"BE
8 Courses",1.3 Lakhs (1st Year Fees),10+2 + MHT-CET,16 Jan - 28 Jul 2024
280,Terna Engineering College Navi Mumbai,"BE {Lateral}
7 Courses",1.3 Lakhs (1st Year Fees),Diploma/ B.Sc,-
280,Terna Engineering College Navi Mumbai,"ME
4 Courses","48,000 (1st Year Fees)",Graduation + GATE,9 July - 29 Jul 2024
280,Terna Engineering College Navi Mumbai,"B.Des
1 Course",1.5 Lakhs (1st Year Fees),10+2 with 50%,-
280,Terna Engineering College Navi Mumbai,"Ph.D
4 Courses",1.39 Lakhs (Total Fees),Post Graduation,-
281,Vivekanand Education Society Institute of Technology - [VESIT],"BE
6 Courses",1.43 Lakhs (1st Year Fees),10+2 + MHT-CET,16 Jan - 28 Jul 2024
281,Vivekanand Education Society Institute of Technology - [VESIT],"ME
3 Courses","35,068 (1st Year Fees)",Graduation + GATE,9 July - 29 Jul 2024
281,Vivekanand Education Society Institute of Technology - [VESIT],"BE {Lateral}
6 Courses",1.28 Lakhs (1st Year Fees),Diploma with 45%,16 Jan - 28 Jul 2024
281,Vivekanand Education Society Institute of Technology - [VESIT],MCA,1.07 Lakhs (1st Year Fees),Graduation + MAH MCA CET,6 July - 14 Jul 2024
282,Sreenidhi Institute of Science and Technology - [SNIST],"B.Tech
11 Courses",1.33 Lakhs (1st Year Fees),10+2,-
282,Sreenidhi Institute of Science and Technology - [SNIST],"MBA
1 Course",1.02 Lakhs (1st Year Fees),Graduation,7 Mar - 30 Apr 2024
282,Sreenidhi Institute of Science and Technology - [SNIST],"M.Tech
6 Courses",1.58 Lakhs (1st Year Fees),Graduation,-
282,Sreenidhi Institute of Science and Technology - [SNIST],"B.Tech {Lateral}
11 Courses",1.3 Lakhs (1st Year Fees),10+3,-
283,Paavai Engineering College (Autonomous),"BE
16 Courses","35,000 - 50,000 (1st Year Fees)",10+2 with 50% + TNEA,6 May - 11 Jun 2024
283,Paavai Engineering College (Autonomous),"B.Tech
5 Courses","50,000 (1st Year Fees)",10+2 with 50% + TNEA,6 May - 11 Jun 2024
283,Paavai Engineering College (Autonomous),"ME
6 Courses",1 Lakh (1st Year Fees),Graduation with 50% + TANCET,15 Apr - 14 May 2024
283,Paavai Engineering College (Autonomous),"MBA
3 Courses","70,000 (1st Year Fees)",Graduation with 50% + CAT,10 Jan - 15 Feb 2024
283,Paavai Engineering College (Autonomous),MCA,"70,000 (1st Year Fees)",Graduation,10 Jan - 15 Feb 2024
284,Assam Don Bosco University - [ADBU],"B.Sc {Hons.}
5 Courses","73,000 (1st Year Fees)",10+2 with 45%,no data found
284,Assam Don Bosco University - [ADBU],"B.Tech
5 Courses",1.31 Lakhs (1st Year Fees),10+2 with 50%,no data found
284,Assam Don Bosco University - [ADBU],"BA {Hons.}
7 Courses","67,000 (1st Year Fees)",10+2 with 50%,no data found
284,Assam Don Bosco University - [ADBU],"BBA
2 Courses","85,000 - 1 Lakh (1st Year Fees)",10+2 with 50%,no data found
284,Assam Don Bosco University - [ADBU],"Ph.D
24 Courses",1 Lakh - 1.2 Lakhs (1st Year Fees),Post Graduation with 55%,no data found
285,RK University - [RKU],"B.Tech
8 Courses","76,500 (1st Year Fees)",10+2,1 Apr - 03 Jul 2024
285,RK University - [RKU],"B.Sc
5 Courses","40,000 (1st Year Fees)",10+2,-
285,RK University - [RKU],"MBA
4 Courses","89,500 (1st Year Fees)",Graduation,21 June - 11 Jul 2024
285,RK University - [RKU],"Ph.D
8 Courses","61,000 - 70,000 (1st Year Fees)",Post Graduation,-
285,RK University - [RKU],"B.Com
1 Course","46,500 (1st Year Fees)",10+2,-
286,Baddi University of Emerging Sciences and Technologies - [BUEST],"B.Tech
6 Courses",1.03 Lakhs - 1.43 Lakhs (1st Year Fees),10+2 with 75% + JEE Main,no data found
286,Baddi University of Emerging Sciences and Technologies - [BUEST],"B.Sc
8 Courses","42,102 - 77,250 (1st Year Fees)",10+2,no data found
286,Baddi University of Emerging Sciences and Technologies - [BUEST],"B.Sc (Nursing)
1 Course","98,434 (1st Year Fees)",10+2,no data found
286,Baddi University of Emerging Sciences and Technologies - [BUEST],"MBA
7 Courses",1.34 Lakhs - 1.43 Lakhs (1st Year Fees),Graduation with 50% + CAT,no data found
286,Baddi University of Emerging Sciences and Technologies - [BUEST],"M.Pharm
5 Courses",1.23 Lakhs (1st Year Fees),B.Pharm.,no data found
287,Sai Nath University,"B.Tech
4 Courses","88,000 (1st Year Fees)",10+2,no data found
287,Sai Nath University,"Polytechnic
4 Courses","51,000 - 68,000 (1st Year Fees)",10th,no data found
287,Sai Nath University,"B.Sc
2 Courses","53,000 - 62,000 (1st Year Fees)",10+2,no data found
287,Sai Nath University,"BCA
1 Course","56,000 (1st Year Fees)",10+2,no data found
287,Sai Nath University,"B.Sc (Nursing)
1 Course",1.4 Lakhs (1st Year Fees),10+2,no data found
288,GITAM,"B.Tech
14 Courses",2.7 Lakhs - 4.17 Lakhs (1st Year Fees),10+2 with 60%,26 Apr - 17 Jun 2024
288,GITAM,"M.Sc
9 Courses","79,000 (1st Year Fees)",Graduation with 50%,26 Apr 2024
288,GITAM,"B.Sc
7 Courses",1.05 Lakhs (1st Year Fees),10+2 with 50%,26 Apr 2024
288,GITAM,"BBA
2 Courses",1.33 Lakhs (1st Year Fees),10+2 with 60%,26 Apr 2024
288,GITAM,"MBA
1 Course",3.87 Lakhs (1st Year Fees),Graduation with 50%,26 Apr 2024
289,Yenepoya University,MBBS,22 Lakhs (1st Year Fees),10+2 with 50% + NEET,9 Feb - 16 Mar 2024
289,Yenepoya University,"B.Sc
22 Courses","60,000 - 4.93 Lakhs (1st Year Fees)",10+2 with 55%,-
289,Yenepoya University,"BBA
6 Courses",1.5 Lakhs (1st Year Fees),10+2 with 55%,-
289,Yenepoya University,"MCA
3 Courses",1.4 Lakhs (1st Year Fees),Graduation with 50%,-
289,Yenepoya University,"BCA
4 Courses",1.82 Lakhs (1st Year Fees),10+2 with 55%,-
290,DAV University,"B.Sc
3 Courses","54,000 (1st Year Fees)",10+2,no data found
290,DAV University,"B.Tech
6 Courses",1.36 Lakhs (1st Year Fees),10+2 with 75% + DAVUET,no data found
290,DAV University,"B.Sc {Hons.}
11 Courses","48,000 - 75,000 (1st Year Fees)",Pass in 10+2 + DAVUET,no data found
