Serial No.,College Name,Course Name,Cutoff Mark
19,Ramaiah Institute of Technology - [RIT],"BE Cyber Security
Compare",1611
19,Ramaiah Institute of Technology - [RIT],"BE Artificial Intelligence and Data Science
Compare",1660
20,International Institute of Information Technology - [IIIT-B],"B.Tech Computer Science Engineering
Compare",3173
20,International Institute of Information Technology - [IIIT-B],"B.Tech Data Science and Artificial Intelligence
Compare",4172
20,International Institute of Information Technology - [IIIT-B],"B.Tech + M.Tech Computer Science & Engineering
Compare",4204
20,International Institute of Information Technology - [IIIT-B],"B.Tech Electronics & Communication Engineering
Compare",4431
20,International Institute of Information Technology - [IIIT-B],"B.Tech + M.Tech Electronics and Communication Engineering
Compare",5008
20,International Institute of Information Technology - [IIIT-B],"M.Tech Computer Science and Engineering
Compare",591
20,International Institute of Information Technology - [IIIT-B],"M.Tech Electronics and Communication Engineering
Compare",504
21,BMS College of Engineering - [BMSCE],"BE Electronics & Communication Engineering
Compare",1873
21,BMS College of Engineering - [BMSCE],"BE Electrical and Electronics Engineering
Compare",5093
21,BMS College of Engineering - [BMSCE],"BE Mechanical Engineering
Compare",13963
21,BMS College of Engineering - [BMSCE],"BE Industrial Engineering & Management
Compare",24885
21,BMS College of Engineering - [BMSCE],"BE Civil Engineering
Compare",32748
21,BMS College of Engineering - [BMSCE],"MCA
Compare",111
21,BMS College of Engineering - [BMSCE],"MBA Finance
Compare",422
21,BMS College of Engineering - [BMSCE],"MBA Human Resource Management
Compare",422
21,BMS College of Engineering - [BMSCE],"MBA Marketing
Compare",422
21,BMS College of Engineering - [BMSCE],"MBA
Compare",422
21,BMS College of Engineering - [BMSCE],"BE Computer Science and Engineering
Compare",1365
21,BMS College of Engineering - [BMSCE],"BE Data Science
Compare",1419
21,BMS College of Engineering - [BMSCE],"BE Artificial Intelligence and Data Science
Compare",1539
21,BMS College of Engineering - [BMSCE],"BE IOT & Cyber Security Including Blockchain
Compare",1566
21,BMS College of Engineering - [BMSCE],"BE Computer Science and Business Systems
Compare",1721
21,BMS College of Engineering - [BMSCE],"MBA
Compare",47
21,BMS College of Engineering - [BMSCE],"MBA Finance
Compare",47
21,BMS College of Engineering - [BMSCE],"MBA Human Resource Management
Compare",47
21,BMS College of Engineering - [BMSCE],"MBA Marketing
Compare",47
21,BMS College of Engineering - [BMSCE],"MCA
Compare",47
22,Karunya Institute of Technology and Sciences - [Karunya Deemed University],"MBA Finance
Compare",50
22,Karunya Institute of Technology and Sciences - [Karunya Deemed University],"MBA Human Resource Management
Compare",50
22,Karunya Institute of Technology and Sciences - [Karunya Deemed University],"MBA International Business
Compare",50
22,Karunya Institute of Technology and Sciences - [Karunya Deemed University],"MBA Marketing
Compare",50
22,Karunya Institute of Technology and Sciences - [Karunya Deemed University],"MBA Business Analytics
Compare",50
22,Karunya Institute of Technology and Sciences - [Karunya Deemed University],"MBA Finance
Compare",53
22,Karunya Institute of Technology and Sciences - [Karunya Deemed University],"MBA Human Resource Management
Compare",53
22,Karunya Institute of Technology and Sciences - [Karunya Deemed University],"MBA International Business
Compare",53
22,Karunya Institute of Technology and Sciences - [Karunya Deemed University],"MBA Marketing
Compare",53
22,Karunya Institute of Technology and Sciences - [Karunya Deemed University],"MBA Business Analytics
Compare",53
23,Kumaraguru College of Technology - [KCT],B.Tech Information Technology,4978
23,Kumaraguru College of Technology - [KCT],BE Computer Science and Engineering,8172
23,Kumaraguru College of Technology - [KCT],B.Tech Artificial Intelligence and Data Science,10470
23,Kumaraguru College of Technology - [KCT],BE Electronics & Communication Engineering,12470
23,Kumaraguru College of Technology - [KCT],BE Aeronautical Engineering,13779
23,Kumaraguru College of Technology - [KCT],MCA,250
24,Punjab Engineering College University of Technology - [PEC],"B.Tech Computer Science Engineering
Compare",14677
24,Punjab Engineering College University of Technology - [PEC],"B.Tech Artificial Intelligence
Compare",15811
24,Punjab Engineering College University of Technology - [PEC],"B.Tech Data Science
Compare",19134
24,Punjab Engineering College University of Technology - [PEC],"B.Tech Mathematics and Computing
Compare",21962
24,Punjab Engineering College University of Technology - [PEC],"B.Tech Electronics & Communication Engineering
Compare",28220
24,Punjab Engineering College University of Technology - [PEC],"M.Tech. Computer Science and Information Security
Compare",487
24,Punjab Engineering College University of Technology - [PEC],"M.Tech Computer Science and Engineering
Compare",486
24,Punjab Engineering College University of Technology - [PEC],"M.Tech VLSI Design
Compare",408
24,Punjab Engineering College University of Technology - [PEC],"M.Tech Mechanical Engineering
Compare",399
24,Punjab Engineering College University of Technology - [PEC],"M.Tech Healthcare Informatics
Compare",379
24,Punjab Engineering College University of Technology - [PEC],"B.Tech Computer Science Engineering
Compare",13386
24,Punjab Engineering College University of Technology - [PEC],"B.Tech Artificial Intelligence
Compare",14097
24,Punjab Engineering College University of Technology - [PEC],"B.Tech Data Science
Compare",17891
24,Punjab Engineering College University of Technology - [PEC],"B.Tech Mathematics and Computing
Compare",20431
24,Punjab Engineering College University of Technology - [PEC],"B.Tech Electronics & Communication Engineering
Compare",22633
24,Punjab Engineering College University of Technology - [PEC],"B.Tech Computer Science Engineering
Compare",348882
24,Punjab Engineering College University of Technology - [PEC],"B.Tech Data Science
Compare",359501
24,Punjab Engineering College University of Technology - [PEC],"B.Tech Electronics & Communication Engineering
Compare",851818
25,Jaypee Institute of Information Technology University - [JIIT],"B.Tech Computer Science Engineering
Compare",48918
25,Jaypee Institute of Information Technology University - [JIIT],"B.Tech Information Technology
Compare",54289
25,Jaypee Institute of Information Technology University - [JIIT],"B.Tech + M.Tech Computer Science & Engineering
Compare",73923
25,Jaypee Institute of Information Technology University - [JIIT],"B.Tech Electronics & Communication Engineering
Compare",100994
25,Jaypee Institute of Information Technology University - [JIIT],"B.Tech + M.Tech Electronics and Communication Engineering
Compare",115503
25,Jaypee Institute of Information Technology University - [JIIT],"B.Tech Computer Science Engineering
Compare",61491
25,Jaypee Institute of Information Technology University - [JIIT],"B.Tech Information Technology
Compare",70400
25,Jaypee Institute of Information Technology University - [JIIT],"B.Tech + M.Tech Computer Science & Engineering
Compare",92828
25,Jaypee Institute of Information Technology University - [JIIT],"B.Tech Biotechnology
Compare",115686
25,Jaypee Institute of Information Technology University - [JIIT],"B.Tech Electronics & Communication Engineering
Compare",149284
26,Indian Institute of Information Technology - [IIIT],"B.Tech Information Technology
Compare",4778
26,Indian Institute of Information Technology - [IIIT],"B.Tech Information Technology Business Informatics
Compare",5194
26,Indian Institute of Information Technology - [IIIT],"B.Tech Electronics & Communication Engineering
Compare",7355
26,Indian Institute of Information Technology - [IIIT],"M.Tech Data Engineering
Compare",657
26,Indian Institute of Information Technology - [IIIT],"M.Tech Human Computer Interaction
Compare",632
26,Indian Institute of Information Technology - [IIIT],"M.Tech Network Security
Compare",610
26,Indian Institute of Information Technology - [IIIT],"M.Tech + Ph.D. Bioinformatics
Compare",599
26,Indian Institute of Information Technology - [IIIT],"M.Tech + Ph.D. Software Engineering
Compare",527
26,Indian Institute of Information Technology - [IIIT],"B.Tech Information Technology
Compare",11047
26,Indian Institute of Information Technology - [IIIT],"B.Tech Information Technology Business Informatics
Compare",11529
26,Indian Institute of Information Technology - [IIIT],"B.Tech Electronics & Communication Engineering
Compare",14522
26,Indian Institute of Information Technology - [IIIT],"B.Tech Information Technology
Compare",139594
26,Indian Institute of Information Technology - [IIIT],"B.Tech Information Technology Business Informatics
Compare",222875
26,Indian Institute of Information Technology - [IIIT],"B.Tech Electronics & Communication Engineering
Compare",697948
26,Indian Institute of Information Technology - [IIIT],"MBA + Ph.D
Compare",78
26,Indian Institute of Information Technology - [IIIT],"MBA
Compare",78
27,Dayalbagh Educational Institute Faculty of Engineering,No data found,No data found
28,Mepco Schlenk Engineering College,"BE Biomedical Engineering
Compare",18283
28,Mepco Schlenk Engineering College,"BE Computer Science and Engineering
Compare",19517
28,Mepco Schlenk Engineering College,"BE Mechanical Engineering
Compare",21547
28,Mepco Schlenk Engineering College,"BE Civil Engineering
Compare",22545
28,Mepco Schlenk Engineering College,"BE Electrical and Electronics Engineering
Compare",23652
28,Mepco Schlenk Engineering College,"MCA
Compare",879
29,Sri Venkateswara University College of Engineering,B.Tech Computer Science Engineering,4128
29,Sri Venkateswara University College of Engineering,B.Tech Electronics & Communication Engineering,6958
29,Sri Venkateswara University College of Engineering,B.Tech Electrical and Electronics Engineering,19331
29,Sri Venkateswara University College of Engineering,B.Tech Mechanical Engineering,45949
29,Sri Venkateswara University College of Engineering,B.Tech Civil Engineering,57319
29,Sri Venkateswara University College of Engineering,M.Tech Structural Engineering,14729
30,Dhirubhai Ambani Institute of Information and Communication Technology - [DA-IICT],"B.Tech Mathematics and Computing
Compare",58
30,Dhirubhai Ambani Institute of Information and Communication Technology - [DA-IICT],"B.Tech (Hons.) Computational Sciences
Compare",72
30,Dhirubhai Ambani Institute of Information and Communication Technology - [DA-IICT],"B.Tech Information and Communication Technology
Compare",129
30,Dhirubhai Ambani Institute of Information and Communication Technology - [DA-IICT],"B.Tech VLSI Design
Compare",217
30,Dhirubhai Ambani Institute of Information and Communication Technology - [DA-IICT],"B.Tech (Hons.) Computational Sciences
Compare",6
30,Dhirubhai Ambani Institute of Information and Communication Technology - [DA-IICT],"B.Tech Mathematics and Computing
Compare",9
30,Dhirubhai Ambani Institute of Information and Communication Technology - [DA-IICT],"B.Tech Information and Communication Technology
Compare",35
30,Dhirubhai Ambani Institute of Information and Communication Technology - [DA-IICT],"B.Tech VLSI Design
Compare",45
30,Dhirubhai Ambani Institute of Information and Communication Technology - [DA-IICT],"B.Tech Mathematics and Computing
Compare",58
30,Dhirubhai Ambani Institute of Information and Communication Technology - [DA-IICT],"B.Tech (Hons.) Computational Sciences
Compare",72
30,Dhirubhai Ambani Institute of Information and Communication Technology - [DA-IICT],"B.Tech Information and Communication Technology
Compare",129
30,Dhirubhai Ambani Institute of Information and Communication Technology - [DA-IICT],"B.Tech VLSI Design
Compare",217
31,Bharati Vidyapeeth Deemed University Pune,MD Kaumar Bhritya,3692
31,Bharati Vidyapeeth Deemed University Pune,MD Roganidhana & Vikriti Vigyana,4047
31,Bharati Vidyapeeth Deemed University Pune,MD Kayachikitsa,4348
31,Bharati Vidyapeeth Deemed University Pune,MD Ayurveda - Panchakarma,4518
31,Bharati Vidyapeeth Deemed University Pune,MD Kriya Sharir,8000
31,Bharati Vidyapeeth Deemed University Pune,B.Tech Computer Science Engineering,8541
31,Bharati Vidyapeeth Deemed University Pune,B.Tech Computer Engineering,8762
31,Bharati Vidyapeeth Deemed University Pune,B.Tech Information Technology,11430
31,Bharati Vidyapeeth Deemed University Pune,B.Tech Chemical Engineering,24814
31,Bharati Vidyapeeth Deemed University Pune,B.Tech Electronics & Telecommunication Engineering,34961
31,Bharati Vidyapeeth Deemed University Pune,BAMS,436066
32,Hindustan Institute of Technology and Science - [HITS],"MBA Aviation Management
Compare",70
32,Hindustan Institute of Technology and Science - [HITS],"MBA Business Analytics
Compare",70
32,Hindustan Institute of Technology and Science - [HITS],"MBA Finance
Compare",70
32,Hindustan Institute of Technology and Science - [HITS],"MBA Green Business Management
Compare",70
32,Hindustan Institute of Technology and Science - [HITS],"MBA Hospital Management
Compare",70
32,Hindustan Institute of Technology and Science - [HITS],"MBA Logistics Management
Compare",70
32,Hindustan Institute of Technology and Science - [HITS],"MBA Marketing
Compare",70
32,Hindustan Institute of Technology and Science - [HITS],"MBA Media and Entertainment
Compare",70
32,Hindustan Institute of Technology and Science - [HITS],"MBA Tourism Management
Compare",70
32,Hindustan Institute of Technology and Science - [HITS],"MBA Sports Management
Compare",70
32,Hindustan Institute of Technology and Science - [HITS],"MBA Human Resource
Compare",70
33,C. V. Raman Global University,"B.Tech Electrical Engineering
Compare",290292
33,C. V. Raman Global University,"B.Tech Internet of Things & Cyber Security Including Blockchain Technology
Compare",573769
33,C. V. Raman Global University,"B.Tech Civil Engineering
Compare",719149
33,C. V. Raman Global University,"B.Tech Chemical Engineering
Compare",825309
33,C. V. Raman Global University,"B.Tech Data Science
Compare",866000
33,C. V. Raman Global University,"B.Tech Electrical and Electronics Engineering
Compare",908650
33,C. V. Raman Global University,"B.Tech Artificial Intelligence and Machine Learning
Compare",1100401
33,C. V. Raman Global University,"B.Tech Computer Science Engineering
Compare",1102954
33,C. V. Raman Global University,"B.Tech Computer Science and Information Technology
Compare",1103619
34,Sri Krishna College of Engineering and Technology - [SKCET],B.Tech Artificial Intelligence and Data Science,7942
34,Sri Krishna College of Engineering and Technology - [SKCET],BE Computer Science and Engineering,8226
34,Sri Krishna College of Engineering and Technology - [SKCET],BE Electronics & Communication Engineering,12938
34,Sri Krishna College of Engineering and Technology - [SKCET],B.Tech Information Technology,13383
34,Sri Krishna College of Engineering and Technology - [SKCET],B.Tech Computer Science and Business Systems,14468
34,Sri Krishna College of Engineering and Technology - [SKCET],MBA Entrepreneurship,94
34,Sri Krishna College of Engineering and Technology - [SKCET],MBA Finance,94
34,Sri Krishna College of Engineering and Technology - [SKCET],MBA Marketing,94
34,Sri Krishna College of Engineering and Technology - [SKCET],MBA Production Management,94
34,Sri Krishna College of Engineering and Technology - [SKCET],MBA Human Resource,94
35,Kongu Engineering College - [KEC],"BE Electronics and Instrumentation Engineering
Compare",11160
35,Kongu Engineering College - [KEC],"B.Tech Food Technology
Compare",19351
35,Kongu Engineering College - [KEC],"BE Computer Science and Engineering
Compare",19730
35,Kongu Engineering College - [KEC],"BE Electronics & Communication Engineering
Compare",20797
35,Kongu Engineering College - [KEC],"BE Civil Engineering
Compare",24337
35,Kongu Engineering College - [KEC],"MCA
Compare",695
36,"Vignan's Foundation for Science, Technology, and Research","MBA Finance
Compare",70
36,"Vignan's Foundation for Science, Technology, and Research","MBA Marketing
Compare",70
36,"Vignan's Foundation for Science, Technology, and Research","MBA Operations Management
Compare",70
36,"Vignan's Foundation for Science, Technology, and Research","MBA Human Resource
Compare",70
37,B.S. Abdur Rahman Crescent Institute of Science & Technology - [BSAU],No data found,No data found
38,Bannari Amman Institute of Technology - [BIT],"B.Tech Agricultural Engineering
Compare",5228
38,Bannari Amman Institute of Technology - [BIT],"BE Computer Science and Engineering
Compare",20697
38,Bannari Amman Institute of Technology - [BIT],"BE Electronics & Communication Engineering
Compare",22146
38,Bannari Amman Institute of Technology - [BIT],"B.Tech Computer Science and Business Systems
Compare",22274
38,Bannari Amman Institute of Technology - [BIT],"B.Tech Artificial Intelligence and Machine Learning
Compare",23714
38,Bannari Amman Institute of Technology - [BIT],"MBA
Compare",90
39,Institute of Engineering and Management - [IEM],"B.Tech Computer Science Engineering
Compare",3287
39,Institute of Engineering and Management - [IEM],"B.Tech Artificial Intelligence and Machine Learning
Compare",4657
39,Institute of Engineering and Management - [IEM],"B.Tech Information Technology
Compare",4873
